,time_histo_el_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
106,213.0,215932,233809,0,0,0,0,215932,233809
107,215.0,221068,232186,0,0,0,0,221068,232186
108,217.0,219481,228155,5,1,1,0,219481,228155
109,219.0,219259,226474,8,0,2,0,219259,226474
110,221.0,218858,225598,7,1,0,0,218858,225598
111,223.0,218289,223746,1,0,0,0,218289,223746
112,225.0,217494,224201,2,0,1,0,217494,224201
113,227.0,217240,220285,13,1,0,0,217240,220285
114,229.0,220013,219710,2,0,0,0,220013,219710
115,231.0,221433,221237,4,0,0,0,221433,221237
116,233.0,221891,218856,5,2,0,0,221891,218856
117,235.0,223771,221200,7,1,1,0,223771,221200
118,237.0,221468,224381,3,1,0,0,221468,224381
119,239.0,216827,221620,7,1,0,0,216827,221620
120,241.0,215185,216438,1,0,0,0,215185,216438
121,243.0,218057,215922,5,0,0,0,218057,215922
122,245.0,220625,217562,3,1,0,0,220625,217562
123,247.0,221937,222481,2,0,0,0,221937,222481
124,249.0,221101,223344,4,1,0,0,221101,223344
125,251.0,221245,230962,3,0,1,0,221245,230962
126,253.0,221103,236432,0,0,0,0,221103,236432
127,255.0,216426,232000,1,0,0,0,216426,232000
128,257.0,215206,234593,2,0,1,0,215206,234593
129,259.0,216778,242458,1,0,0,0,216778,242458
130,261.0,215340,239404,4,1,0,0,215340,239404
131,263.0,213076,235764,3,0,0,0,213076,235764
132,265.0,212907,233153,1,0,0,0,212907,233153
133,267.0,212480,222303,5,2,2,0,212480,222303
134,269.0,213801,215358,7,1,1,1,213801,215358
135,271.0,214763,198828,4,0,2,0,214763,198828
136,273.0,217485,186001,7,1,2,1,217485,186001
137,275.0,212957,182691,5,0,0,0,212957,182691
138,277.0,211809,190239,1,0,0,0,211809,190239
139,279.0,211663,182970,1,0,0,0,211663,182970
140,281.0,209592,187449,2,0,0,0,209592,187449
141,283.0,216303,208739,6,0,1,0,216303,208739
142,285.0,217983,220675,4,0,0,0,217983,220675
143,287.0,218017,232670,4,0,0,0,218017,232670
144,289.0,217014,235973,1,0,0,0,217014,235973
145,291.0,216107,239278,6,0,0,0,216107,239278
146,293.0,214844,245020,2,1,0,0,214844,245020
147,295.0,212046,248416,4,0,0,0,212046,248416
148,297.0,210114,253203,4,1,0,0,210114,253203
149,299.0,207818,254549,8,0,0,0,207818,254549
150,301.0,206241,248574,6,1,0,0,206241,248574
151,303.0,208068,254019,4,1,0,0,208068,254019
152,305.0,210116,252095,2,0,0,0,210116,252095
153,307.0,210971,243999,3,1,0,0,210971,243999
154,309.0,210232,236126,5,0,0,0,210232,236126
155,311.0,209445,226853,4,0,0,0,209445,226853
156,313.0,208891,217979,0,0,0,0,208891,217979
157,315.0,208596,200559,3,0,0,0,208596,200559
158,317.0,210429,187413,2,1,1,0,210429,187413
159,319.0,206468,162353,3,0,0,0,206468,162353
160,321.0,210379,156031,3,0,0,0,210379,156031
161,323.0,211141,158873,1,1,0,0,211141,158873
162,325.0,216029,158442,5,0,0,0,216029,158442
163,327.0,215345,167203,7,1,0,0,215345,167203
164,329.0,212596,166878,9,3,0,0,212596,166878
165,331.0,211839,165438,3,0,0,0,211839,165438
166,333.0,211142,176264,5,0,0,0,211142,176264
167,335.0,209145,194170,4,0,0,0,209145,194170
168,337.0,206066,218119,4,0,2,0,206066,218119
169,339.0,203345,222274,5,0,0,0,203345,222274
170,341.0,206547,220701,3,0,0,0,206547,220701
171,343.0,207321,214042,1,0,0,0,207321,214042
172,345.0,209791,220665,3,1,0,0,209791,220665
173,347.0,211436,225056,3,0,0,0,211436,225056
174,349.0,212979,226384,4,0,0,0,212979,226384
175,351.0,212714,228558,3,0,2,0,212714,228558
176,353.0,209846,223458,5,0,1,0,209846,223458
177,355.0,205889,207420,3,0,0,0,205889,207420
178,357.0,202095,194379,4,0,0,0,202095,194379
179,359.0,203092,189605,1,0,0,0,203092,189605
180,361.0,205430,186649,3,0,0,0,205430,186649
181,363.0,206123,179438,4,1,0,0,206123,179438
182,365.0,209148,177531,0,0,0,0,209148,177531
183,367.0,212771,193717,2,2,0,0,212771,193717
184,369.0,214331,213324,2,0,0,0,214331,213324
185,371.0,215051,222117,4,0,0,0,215051,222117
186,373.0,220679,225440,3,0,0,0,220679,225440
187,375.0,219357,227789,4,0,0,0,219357,227789
188,377.0,216830,226286,3,0,0,0,216830,226286
189,379.0,211810,224057,9,2,0,0,211810,224057
190,381.0,211665,226557,7,0,0,0,211665,226557
191,383.0,210278,222319,8,1,1,0,210278,222319
192,385.0,207905,228005,7,1,0,0,207905,228005
193,387.0,207568,240132,6,1,0,0,207568,240132
