delay_(ps),counts_per_90_min
0,50394.588834466
240,50290.85486844297
640,49784.409171687796
720,47570.72545700344
800,44732.74362847896
840,42233.239317604915
880,41567.976183431936
920,43264.33023678317
960,45784.91582365499
1000,47135.969284559695
1040,47196.74237218115
1120,47185.062666653335
1200,47120.152101938715
1600,47085.62322497617
