delay_(ps),counts_per_90_min
0,102781.40578216582
240,101976.38131074884
640,103514.9276451324
720,103015.24537696705
800,103379.5789781823
840,101351.33592063205
880,101341.01523290329
920,94365.41869828312
960,95211.11912733944
1000,95861.26111640233
1040,97787.4441899872
1120,104218.99089646581
1200,103694.0792920219
1600,100985.01638927714
1840,100443.43767630504
