delay_(ps),counts_per_90_min
0,6214.818617057644
240,5996.035879667299
640,5897.035364207638
720,5676.3576736063205
800,5159.97344408137
840,4772.0713168867815
880,4424.754248087185
920,4386.704289554607
960,4732.713433921227
1000,5276.3689357241565
1040,5431.761443334799
1120,5702.882014513085
