delay_(ps),counts_per_90_min
0,4448.250648760961
240,4409.7409363397355
640,4264.038793512024
720,4221.14617024749
800,3940.018468690371
840,3562.2256745119353
880,3285.062748767557
920,3399.8069681553657
960,3586.113470259185
1000,4056.526428017941
1040,4196.8270840565465
1120,4402.434257326173
