,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,264471,140420,1832,403327,403644,2311,457042,291390,2452,382322,2435,1917
1,2.0,436252,230716,2992,663194,663812,3836,754244,480666,4026,632244,4243,3241
2,4.0,440346,233951,3069,673056,673632,3749,763270,488662,4119,633334,3815,3092
3,6.0,439651,233774,2943,674151,674696,3736,759378,486411,3921,631202,3746,3096
4,8.0,440685,235432,3001,673983,674489,3650,761037,487162,4005,630919,3469,3037
5,10.0,441903,235674,3013,679720,680231,3701,763974,490772,4043,632353,3558,3089
6,12.0,443174,237115,2981,683888,684430,3782,766466,492265,3970,631213,3505,3037
7,14.0,441449,235708,2959,677883,678441,3807,761674,490270,4152,629201,3540,3016
8,16.0,439175,234303,3028,672694,673137,3764,757468,486233,4047,627268,3512,3121
9,18.0,435928,231758,2977,668293,668812,3684,753893,483147,3950,627626,3551,2976
10,20.0,436011,232062,3051,667668,668165,3644,754586,483493,3988,626623,3627,3135
11,22.0,438510,233854,3010,670451,670953,3658,757655,486102,3992,628001,3622,3050
12,24.0,438030,234128,3057,674633,675069,3754,759078,487184,4083,628264,3495,3057
13,26.0,438109,234137,3057,674076,674555,3720,760558,488082,4054,628752,3569,3072
14,28.0,439380,233787,2892,674333,674901,3744,761636,488122,4095,628928,3589,3015
15,30.0,440307,235169,2960,676852,677352,3764,761651,488699,4141,628249,3552,3076
16,32.0,441271,237370,2984,686069,686543,3766,766766,493803,3994,627351,3514,3012
17,34.0,440053,236632,2994,684694,685153,3732,766079,494423,4009,625068,3401,3003
18,36.0,440216,237262,2895,686933,687466,3755,765521,493352,4158,624670,3509,3039
19,38.0,440319,236658,3084,684818,685439,3830,764839,493526,3992,625240,3539,3091
20,40.0,440933,237116,2964,684634,685047,3676,765157,494270,4091,623553,3707,3217
21,42.0,439274,234974,2976,680284,680806,3842,762512,490547,3988,625117,3477,3066
22,44.0,436376,232681,2919,670149,670658,3761,755793,483870,4057,625596,3589,3015
23,46.0,435517,231419,2986,663846,664387,3717,752544,480603,3969,626625,3458,3093
24,48.0,434383,230397,2976,662812,663311,3803,751342,478707,4116,629057,3468,3018
25,50.0,433999,230135,3063,663149,663602,3711,751865,478650,4004,627466,3497,3058
26,52.0,433305,229205,2989,661534,662080,3600,750178,477640,4059,627764,3459,2949
27,54.0,433855,229159,3040,656977,657525,3762,747605,475123,3996,627966,3574,3085
28,56.0,433824,229087,2978,657140,657582,3670,750173,477013,3915,628736,3502,2997
29,58.0,434923,230309,3000,660427,660893,3718,749814,477103,3941,630179,3601,3158
