,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,443841,222978,4645,368906,186364,4166,18200,18220,18113,33317,33831,33694
1,2.0,444646,223428,4504,370662,186870,4151,18152,17826,17887,33532,33092,33260
2,4.0,340167,251892,101606,282526,224366,88129,13426,13806,14514,25297,25242,25495
3,6.0,444227,343804,149654,369939,308479,129953,18003,18316,19191,32911,33147,33037
4,8.0,445889,344841,150129,371113,309179,130456,17462,18357,19026,32959,32931,32904
5,10.0,445764,344851,150812,371727,310021,130453,17668,17878,18645,32923,32522,32404
6,12.0,446341,345848,150736,371530,309744,130779,17510,17898,18667,32441,32428,32728
7,14.0,446981,345913,150805,373154,311488,131010,17668,18191,18800,32916,32950,32768
8,16.0,447135,346517,150876,372805,310523,131131,17809,18298,18987,33136,33128,32701
9,18.0,447739,346916,151233,373430,311293,131351,17654,17787,18921,32807,33144,32508
10,20.0,447992,346489,150793,373016,311621,131215,17709,17728,18834,32234,32794,32306
11,22.0,446558,345733,150493,372563,310729,131294,17511,17748,18545,32108,32207,31999
12,24.0,446798,345913,150226,373493,311419,131747,17060,17557,18242,31896,31715,31538
13,26.0,447838,346420,150904,372674,310135,130674,17082,17371,17893,31321,31304,31010
14,28.0,446743,345193,150837,373174,311357,131671,16753,17285,17746,30755,30350,30733
15,30.0,443660,342770,148783,371720,310295,131033,16750,16888,17653,30776,30478,30886
16,32.0,443048,342207,148518,371212,309327,130656,17070,17053,18184,31111,30984,30976
17,34.0,442255,341869,148782,370333,308906,130487,17518,17574,18309,31642,31723,31895
18,36.0,441658,341781,148616,370437,308754,130103,17414,17986,18672,32660,32389,32664
19,38.0,442231,341776,148571,370483,308524,130525,17699,18169,18755,32610,32728,32980
20,40.0,441629,340786,148606,368238,306723,129690,17911,18412,19045,33286,33525,33036
21,42.0,440535,340186,148431,368526,307172,129691,18037,18273,19307,33554,33670,33489
22,44.0,440358,340121,147137,368791,307287,130389,17729,18183,19103,33426,33038,32920
23,46.0,441434,340643,148461,369383,307368,129350,17452,17628,18706,31919,32068,31899
24,48.0,441898,342101,148682,369112,308068,130382,16525,17335,17997,30759,30808,30621
25,50.0,440933,340958,148436,370412,308783,130169,16425,17023,17704,30499,30567,30412
26,52.0,441972,341429,148784,371529,309703,130418,16446,16772,17282,30107,30327,30035
27,54.0,441420,341004,148279,371848,310279,130761,16309,16599,17376,29882,29940,29733
28,56.0,441298,340854,148179,372639,311440,132099,16200,16566,17248,29914,29897,30070
29,58.0,441159,341478,149036,371711,310186,131071,16249,16881,17380,30543,29862,30162
30,60.0,444080,343616,149180,371954,310531,131388,16681,16992,17901,30757,30952,31175
31,62.0,441545,341518,148318,373220,311455,131053,17227,17249,18272,31443,31757,31922
32,64.0,364090,199675,23845,306486,173396,27803,14033,14359,14203,25914,26091,26086
33,66.0,440549,223207,6657,371214,191692,15919,17178,17080,16823,31533,31212,31134
34,68.0,441090,222761,6838,371093,191010,15832,16486,16843,16880,30839,30791,30753
35,70.0,441010,223066,6839,372712,192400,15733,16557,16214,16230,30462,30505,30630
36,72.0,441143,223654,6790,372273,192512,15964,16703,16824,16781,30688,30468,30441
37,74.0,442533,223688,6684,372819,192864,15886,17007,16943,17159,31159,31058,31202
38,76.0,442046,224016,6855,374953,193357,16068,16844,16781,17252,31185,31131,31522
39,78.0,443135,223982,6772,374258,192667,15907,16782,17080,17149,31568,31205,31265
40,80.0,441580,223550,6825,373454,193393,15881,16679,16885,16985,31047,31402,30945
41,82.0,441010,222890,6806,372791,192836,15602,16707,16453,16728,30569,30478,30357
42,84.0,442240,224174,6877,371565,192175,15975,16501,16288,16139,30229,30152,29814
43,86.0,441107,223527,6862,372171,192169,15819,15984,16269,15996,29601,29823,29725
44,88.0,442800,224567,6743,371827,192441,15934,15953,15979,16016,29482,29470,29399
45,90.0,442718,223464,6770,370962,191193,15760,15588,15470,15498,28574,28732,28275
46,92.0,441843,223132,6948,370265,190852,15826,15214,15234,15111,27693,27766,27579
47,94.0,443196,224185,6768,372225,192977,15883,14779,15041,14807,27118,27179,27163
48,96.0,440989,223441,6922,368646,190816,15913,14330,14207,14611,26520,26266,26726
49,98.0,440570,222662,6807,369647,191020,15704,14178,14299,13973,26203,26253,26220
50,100.0,439768,222685,6890,367894,189960,15574,14540,14258,14245,26147,26268,26502
51,102.0,439927,222227,6903,366215,188613,15529,14699,14560,14672,26954,27007,26968
52,104.0,437201,221338,6815,365610,188473,15380,15196,15134,15363,28415,28188,28135
53,106.0,436775,221289,6785,364966,188387,15549,15959,15732,15751,28849,28727,28945
54,108.0,435416,220308,6751,363056,187548,15592,15773,15857,15966,29144,29290,29209
55,110.0,436155,220420,6745,364762,187747,15539,15754,15538,15782,29035,28791,29216
56,112.0,435828,220989,6662,365458,188558,15626,15736,15550,15744,28517,28630,28667
57,114.0,436167,221170,6787,364757,188231,15379,15681,15678,15927,28369,28817,27971
58,116.0,438137,221850,6779,364826,188703,15514,15309,15279,15287,28251,28252,27963
59,118.0,435179,220887,6826,364220,188883,15429,15413,15314,15411,28241,28167,28155
60,120.0,434244,220390,6951,363544,187542,15450,15232,15218,15479,28299,28508,28082
61,122.0,434644,219929,6866,362878,187190,15293,15684,15393,15662,28317,28432,28562
62,124.0,357530,180230,4102,297660,150503,4840,12926,12774,12808,23581,23474,23280
63,126.0,431624,217348,4475,362188,182596,4103,15480,15492,15734,28421,28740,28629
64,128.0,433385,218447,4579,362016,182134,4167,15674,15498,16092,28629,28802,28783
65,130.0,432998,217722,4679,362099,182387,4093,15584,15866,16002,29267,29274,29147
66,132.0,434403,218130,4628,362681,182367,4153,16575,16204,16204,30495,30053,30126
67,134.0,433325,217726,4602,363321,183085,4102,16491,16896,16659,30733,30869,30473
68,136.0,433347,217870,4550,363088,182861,4115,16749,16636,16910,31001,30762,30472
69,138.0,434915,219827,4671,363464,183239,4120,16904,16842,17081,31411,31329,31098
70,140.0,435902,219273,4589,364794,183634,4160,17065,17102,16988,31563,31223,31056
71,142.0,435767,219205,4545,364759,184442,4093,16941,17207,17021,31403,31507,31375
72,144.0,435330,218984,4517,366137,184732,4137,17047,17171,16882,30908,31034,31423
73,146.0,436776,220191,4515,364783,183962,4079,17007,16783,17092,31568,30985,31329
74,148.0,435519,219456,4595,365294,183743,4070,16746,17096,16956,31260,31322,31095
75,150.0,434883,218376,4506,364537,183951,4185,17101,16939,16921,31293,31500,31439
76,152.0,431950,217696,4639,362955,182878,4099,16905,16908,17086,31153,31303,31246
77,154.0,431705,217496,4565,363767,183403,4202,16727,16978,16860,31236,31382,31567
78,156.0,432911,218101,4575,365641,184411,4097,17013,16893,17121,31994,31395,31300
79,158.0,432359,217284,4627,365890,184677,4010,17227,17339,17507,31913,32304,32119
80,160.0,432596,217429,4675,364550,183662,4132,17856,18018,17869,33005,32763,33007
81,162.0,430663,216791,4544,364375,183658,4020,18137,18269,18316,33701,33418,33525
82,164.0,429405,216553,4647,364315,183331,4090,18441,18507,18253,34662,34337,34239
83,166.0,430523,216699,4633,364876,183706,4070,18410,18420,18486,34390,34332,34459
84,168.0,429429,216263,4491,364075,183535,4161,18402,18471,18414,34102,33767,34482
85,170.0,429012,216319,4586,364162,183554,4123,18296,18598,18308,34446,34097,34133
86,172.0,427251,214745,4678,363567,182868,4192,18185,18313,18454,34282,34123,34232
87,174.0,425298,214352,4537,361353,182377,3951,18523,18344,18235,34593,34623,34701
88,176.0,426076,214776,4543,361906,182516,4036,18761,18543,18899,34924,34739,35134
89,178.0,424672,213677,4557,362791,182910,4141,19005,19050,19047,35748,35770,35978
90,180.0,425009,213868,4655,363835,183009,4036,19370,19292,19384,36629,36508,36553
91,182.0,423964,213373,4538,363768,183178,4129,19378,19697,19547,36893,36783,37332
92,184.0,348638,175488,3814,299922,151699,3463,16239,16310,16475,30370,30303,30621
93,186.0,422378,212442,4525,362877,182990,4006,19319,19501,19729,37002,36745,36514
94,188.0,422169,212306,4556,362405,182925,4173,19320,19259,19233,35869,36142,36041
95,190.0,421677,212513,4617,362399,182744,4104,19155,19133,19254,35534,35560,35275
96,192.0,422071,212223,4526,363318,182690,3940,18706,18757,19111,34994,35385,35277
97,194.0,421709,212267,4535,362267,182132,4136,18939,18856,18833,35760,35587,35494
98,196.0,419466,210856,4614,361539,182137,4018,19183,19428,19296,36301,36151,36468
99,198.0,417617,210105,4705,361944,182300,4078,19908,19511,19691,37415,36924,36862
100,200.0,416697,209580,4478,361104,181739,4080,20010,19566,19960,37484,37652,37263
101,202.0,417657,209842,4521,361651,182518,4067,20015,19955,20015,37538,37700,37569
102,204.0,417302,209736,4544,361944,182290,4004,19555,19856,19726,37456,37400,37225
103,206.0,418530,210154,4617,362587,182450,3978,19993,19728,20198,37704,37798,37722
104,208.0,419388,210940,4551,363874,183140,4113,19979,19869,19969,37877,37910,37918
105,210.0,419973,210980,4652,365963,183652,4158,19966,20067,20094,38138,38120,38186
106,212.0,419435,211322,4528,365596,184449,4067,20147,20098,20203,37683,38260,37962
107,214.0,418597,210914,4637,365967,184360,4122,20218,19906,20189,38041,37915,38058
108,216.0,417844,209980,4552,364938,183677,3998,19938,20070,19891,37765,37578,37381
109,218.0,418840,210546,4624,365433,184728,4158,20042,20226,19845,37753,37859,38149
110,220.0,418881,210705,4601,365839,184032,4078,19812,20219,20121,38146,37906,37578
111,222.0,419010,210860,4535,366730,184624,4094,20028,20131,19949,37665,37809,37575
112,224.0,417966,210230,4522,365943,184303,4064,19809,19717,19814,37504,37392,37483
113,226.0,417511,210359,4818,369170,185953,3970,19673,19325,19757,37201,37205,37445
114,228.0,419013,210384,4598,369228,186092,4017,19750,19707,19642,36782,37473,37015
115,230.0,419235,210923,4704,368681,185302,4126,19660,19797,19747,37512,37317,37029
116,232.0,417904,210472,4619,367208,184846,4113,19501,19358,19931,37036,37566,36962
117,234.0,417434,210281,4431,368323,185108,4128,19694,19346,19540,37170,36653,37019
118,236.0,417368,209562,4663,367254,184812,4057,19745,19613,19763,37482,37163,37384
119,238.0,416958,209481,4561,367216,184755,4073,19656,19526,19838,37126,36645,37146
120,240.0,415731,209360,4739,366402,184954,4170,19637,19760,19776,37299,37078,36967
121,242.0,414696,208751,4558,367325,184414,4165,19289,19504,19518,37017,37089,37060
122,244.0,338633,170271,3718,300155,151166,3321,15697,15879,15995,29851,30042,29681
123,246.0,415557,209689,4578,367913,184694,4051,19274,19390,19248,36694,36694,36568
124,248.0,415253,209054,4638,367566,185079,4128,19119,19486,19138,36121,36124,35858
125,250.0,414558,208166,4534,367854,185513,3989,18966,19213,19082,35811,35705,35473
126,252.0,415731,209408,4628,368380,185246,4020,19136,19089,18915,35512,35496,35523
127,254.0,414755,208746,4527,367703,185310,4029,18948,19148,18692,35731,35993,35714
128,256.0,415337,208869,4587,367322,184979,4058,19052,19019,18954,36036,35558,35561
129,258.0,411122,206717,4606,365027,183830,4068,18840,19014,19022,36139,35651,35573
130,260.0,410286,207089,4447,364548,183772,4168,19075,19041,19222,36137,35753,35863
131,262.0,411691,207458,4613,365363,184292,4086,18895,18986,18995,35814,35899,35954
132,264.0,411387,207080,4573,366309,184935,4114,19511,19402,19134,36001,36172,35937
133,266.0,412055,207702,4676,365938,184021,3969,19201,19196,19200,36285,36270,36022
134,268.0,412666,207451,4550,365279,184415,4085,19079,19102,18984,35801,35838,36353
135,270.0,412029,207818,4585,366049,184615,4149,19311,18791,18972,35703,35808,35573
136,272.0,411651,207606,4688,365335,184326,4094,18745,19224,19122,35352,35927,35496
137,274.0,410990,207378,4590,365494,184271,4080,18857,18838,18920,35361,35270,35380
138,276.0,411625,207393,4634,365326,184296,4218,18934,18861,18929,35106,35184,34965
139,278.0,409843,206127,4536,364408,183487,4030,18919,19099,19189,35246,35392,35294
140,280.0,410691,206963,4692,364639,183886,4016,18982,18981,18938,35696,35507,35905
141,282.0,409806,206565,4569,366001,184632,4056,19113,19429,19200,36470,36117,35972
142,284.0,411717,207372,4580,365553,184251,3963,19498,19513,19344,36668,36537,36903
