,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,27,33,590,1146
1,2.0,21,23,532,843
2,4.0,16,30,792,1105
3,6.0,24,49,805,1112
4,8.0,25,36,794,1108
5,10.0,22,37,791,1119
6,12.0,35,30,786,1117
7,14.0,24,36,836,1154
8,16.0,25,38,806,1124
9,18.0,32,33,777,1045
10,20.0,28,39,792,1101
11,22.0,27,34,798,1134
12,24.0,25,28,778,1084
13,26.0,25,39,776,1059
14,28.0,21,38,783,1104
15,30.0,27,39,818,1117
16,32.0,22,43,816,1123
17,34.0,34,32,878,1178
18,36.0,26,36,851,1160
19,38.0,26,32,849,1136
20,40.0,19,42,793,1121
21,42.0,21,24,832,1144
22,44.0,21,35,799,1084
23,46.0,19,38,818,1139
24,48.0,28,29,779,1055
25,50.0,30,35,784,1115
26,52.0,30,35,850,1173
27,54.0,24,39,808,1106
28,56.0,25,29,797,1107
29,58.0,29,35,866,1169
30,60.0,21,25,819,1142
31,62.0,24,163,707,952
32,64.0,25,286,850,1180
33,66.0,18,354,794,1112
34,68.0,26,302,829,1160
35,70.0,22,287,864,1187
36,72.0,27,325,860,1181
37,74.0,21,323,909,1272
38,76.0,20,287,853,1156
39,78.0,23,343,831,1140
40,80.0,22,323,870,1208
41,82.0,27,335,881,1169
42,84.0,34,329,821,1126
43,86.0,27,317,819,1126
44,88.0,19,294,807,1083
45,90.0,31,299,808,1126
46,92.0,23,306,757,1088
47,94.0,28,294,781,1064
48,96.0,20,350,806,1112
49,98.0,28,290,823,1165
50,100.0,28,333,830,1167
51,102.0,21,294,797,1141
52,105.0,24,286,845,1159
53,107.0,27,297,805,1127
54,109.0,45,348,834,1182
55,111.0,25,302,841,1141
56,113.0,19,355,797,1111
57,115.0,26,316,927,1251
58,117.0,23,312,826,1135
59,119.0,22,324,815,1135
60,121.0,29,311,828,1102
61,123.0,14,146,588,951
62,125.0,28,47,602,1123
63,127.0,24,47,559,1085
64,129.0,28,39,597,1119
65,131.0,30,48,575,1179
66,133.0,33,49,589,1135
67,135.0,23,36,597,1119
68,137.0,26,41,611,1154
69,139.0,22,40,546,1088
70,141.0,23,36,588,1105
71,143.0,21,52,528,1046
72,145.0,20,54,572,1103
73,147.0,22,38,612,1154
74,149.0,19,41,502,1036
75,151.0,16,59,582,1117
76,153.0,21,57,580,1117
77,155.0,22,40,561,1090
78,157.0,25,38,594,1119
79,159.0,24,37,539,1028
80,161.0,18,35,579,1063
81,163.0,29,41,551,1096
82,165.0,24,47,588,1077
83,167.0,17,47,523,1049
84,169.0,22,37,523,1054
85,171.0,26,44,573,1090
86,173.0,29,59,552,1028
87,175.0,29,42,571,1072
88,177.0,18,44,551,1069
89,179.0,23,34,532,1065
90,181.0,20,39,591,1098
91,183.0,19,27,482,935
92,185.0,19,30,540,1074
93,187.0,31,29,535,1101
94,189.0,31,31,545,1078
95,191.0,26,27,553,1129
96,193.0,21,30,569,1094
97,195.0,27,33,601,1149
98,197.0,20,16,603,1173
99,199.0,25,26,556,1110
100,201.0,29,36,623,1171
101,203.0,20,44,582,1174
102,205.0,22,32,607,1187
103,207.0,24,38,616,1184
104,209.0,21,26,608,1181
105,211.0,24,32,582,1184
106,213.0,30,23,578,1160
107,215.0,25,19,582,1125
108,217.0,21,35,577,1107
109,219.0,22,30,570,1132
110,221.0,28,31,564,1087
111,223.0,25,32,590,1119
112,225.0,19,32,597,1128
113,227.0,24,27,568,1146
114,229.0,19,35,594,1128
115,231.0,22,38,593,1093
116,233.0,25,28,564,1074
117,235.0,24,27,579,1142
118,237.0,28,30,546,1137
119,239.0,22,39,545,1112
120,241.0,12,22,541,1105
121,243.0,24,15,422,844
122,245.0,22,26,555,1078
123,247.0,25,23,542,1074
124,249.0,19,29,560,1122
125,251.0,18,25,556,1120
126,253.0,31,27,543,1103
127,255.0,24,29,593,1118
128,257.0,26,19,551,1082
129,259.0,19,29,557,1146
130,261.0,26,22,553,1090
131,263.0,22,19,528,1080
132,265.0,25,26,554,1099
133,267.0,22,29,577,1039
134,269.0,28,37,540,1065
135,271.0,32,26,570,1104
136,273.0,25,28,558,1082
137,275.0,29,25,546,1090
