,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,365945,3020,257467,390137,3050,351172,540726,3503,330055,442409,2789,397685
1,2.0,173384,2795,100701,40254,3427,36398,238540,3529,92921,339100,2278,304990
2,5.0,205420,3432,112367,4168,4277,3996,277434,4397,91392,439555,2898,394949
3,6.0,223255,3405,112021,48805,4137,3777,306286,4301,90749,437394,2785,393298
4,8.0,363210,3154,110492,386339,3614,2942,535775,4206,89320,437483,2856,393468
5,10.0,366516,3044,110368,394907,3348,2883,540252,4047,88753,435087,2867,391115
6,12.0,370440,2971,109784,405659,3335,2882,547645,4058,88267,433523,2850,389819
7,14.0,367851,2959,108974,403967,3289,2887,544135,4052,87441,430714,2885,387350
8,16.0,368633,2978,109399,404007,3318,2867,543753,4022,87926,432501,2887,388698
9,18.0,368002,3047,108691,405441,3311,2793,543771,3937,87355,429529,2772,386149
10,20.0,367889,2962,108977,405624,3295,2789,541785,3965,87297,430361,2842,386823
11,22.0,369619,2920,109818,408634,3350,2802,543506,3900,87430,431145,2855,387583
12,24.0,369895,3039,110126,409838,3281,2733,544929,4094,87895,432702,2744,388889
13,26.0,366866,2968,110138,403819,3343,2824,538800,4003,87734,431486,2844,387802
14,28.0,366061,3022,110160,401016,3151,2869,536724,3913,87510,434297,2950,390309
15,30.0,365601,2993,110267,400351,3247,2872,538206,3998,88126,433643,2914,389896
16,32.0,365433,2983,110119,399435,3342,2826,534982,4007,87669,432634,2861,389352
17,34.0,364799,2970,110799,394818,3226,2926,533049,4021,88083,432636,2794,389055
18,36.0,363890,2955,111384,392206,3256,2859,533626,4021,88955,436569,2851,392835
19,38.0,365011,3035,112162,391694,3382,2828,534419,3949,89309,438172,2885,393966
20,40.0,365527,3055,112696,393873,3308,2825,539409,3994,90987,442839,2761,397639
21,42.0,366560,2993,113981,391720,3289,2893,538777,3902,90707,444604,2867,399830
22,44.0,366095,3038,113589,390534,3303,2881,538534,3997,91067,446147,2858,401145
23,46.0,368450,2898,114338,390332,3330,2770,538610,4069,91937,445493,2866,400688
24,48.0,366178,3036,113808,388743,3298,2951,537203,3935,91966,446587,2769,401377
25,50.0,368790,2977,114580,389575,3336,2916,537964,4059,91518,447775,2916,402977
26,52.0,369149,3014,113852,393715,3257,2895,543050,4025,91676,448645,2755,403304
27,54.0,371391,2908,114528,395267,3224,2794,543527,4059,91519,448797,2809,403576
28,56.0,372185,2960,114656,400917,3302,2829,546601,3908,91650,448201,2864,403005
29,58.0,371687,2962,114559,399127,3351,2853,544712,4026,91004,446734,2831,401411
30,60.0,370522,3044,114073,396877,3228,2860,544993,4093,91334,446972,2865,401571
31,62.0,371868,2951,113872,397845,3304,2889,544159,4099,90876,444446,2786,399605
32,64.0,369938,3036,113429,396775,3231,2852,541799,4068,91174,445082,2784,399883
33,66.0,367020,3026,113328,392870,3440,2872,537527,4067,90822,444341,2785,399366
34,68.0,365707,3020,113434,389157,3450,2832,538371,4007,91569,443044,2777,398133
35,70.0,364868,2928,113505,386257,3358,2827,536794,4145,91551,444749,2784,399765
36,72.0,366488,2952,113607,388685,3234,2796,537210,4017,90773,444308,2753,399808
37,74.0,368044,2963,113439,391446,3286,2867,541376,3965,91586,445428,2800,400603
38,76.0,369595,3091,113744,395816,3341,2823,542720,4035,91481,445530,2873,400421
39,78.0,369788,3009,113596,393347,3262,2910,541599,4044,90629,444059,2749,399542
40,80.0,367869,2972,113402,394786,3362,2938,540515,4009,90963,444084,2807,398793
41,82.0,368346,3057,113020,394176,3294,2963,542194,4158,91504,444472,2824,399783
42,84.0,365455,3071,112302,389398,3277,2884,537787,3990,90470,440937,2817,395889
43,86.0,367543,3021,113439,391066,3314,2892,540205,4012,91160,442462,2799,397790
44,88.0,366440,2928,113131,386578,3258,2853,539171,3935,91300,441677,2883,397207
45,90.0,365261,2928,113055,385654,3261,2914,538650,4036,91335,442533,2843,397687
46,92.0,364085,2914,112447,383602,3298,2868,536886,3981,91443,441310,2890,396824
47,94.0,363182,2998,112883,382608,3212,2844,536707,3979,91560,439491,2829,395376
48,96.0,363708,3012,112690,382168,3320,2956,536176,3973,91115,439684,2719,395640
49,98.0,365363,2984,112821,385050,3339,2769,537980,3921,90720,441185,2814,396698
50,100.0,364654,2998,112260,386112,3340,2779,536929,3960,89990,439773,2806,395209
51,102.0,364473,2918,112385,386006,3239,2830,535163,3987,90135,439173,2836,394873
52,104.0,363943,2953,111923,387145,3284,2815,535499,4048,90054,438154,2814,393624
53,106.0,362117,3018,110943,385755,3349,2895,534024,3916,89269,436972,2824,392970
54,108.0,363877,2979,111857,385958,3344,2912,534417,3977,89325,437568,2820,393840
55,110.0,362942,2987,112245,383877,3272,2877,533225,4011,90393,440106,2798,395866
