,time_histo_el_s,A0,B0,C0,D0
0,0.0,53425,20124,1933,4398
1,2.0,53148,19750,1917,4487
2,4.0,53247,19770,1854,4330
3,6.0,53131,19744,1919,4537
4,8.0,52938,19541,1885,4523
5,10.0,52889,19937,1913,4471
6,12.0,53356,19787,1978,4396
7,14.0,52502,19747,1884,4460
8,16.0,53144,19785,1937,4463
9,18.0,52838,19615,1946,4434
10,20.0,52334,19261,1886,4292
11,22.0,52363,19524,1891,4300
12,24.0,52263,19587,1971,4225
13,26.0,52311,19687,1949,4464
14,28.0,52669,19741,1865,4464
15,30.0,52920,19790,1885,4388
16,32.0,52878,19779,1890,4308
17,34.0,52722,19301,1981,4356
18,36.0,52938,19430,1985,4390
19,38.0,52885,19866,1939,4447
20,40.0,52508,19590,1967,4303
21,42.0,52674,19451,1892,4431
22,44.0,52515,19476,1941,4311
23,46.0,52724,19553,1889,4431
24,48.0,52377,19368,1973,4315
25,50.0,52426,19425,1825,4348
26,52.0,52132,19309,1870,4407
27,54.0,52483,19484,1888,4414
28,56.0,52167,19742,1921,4442
29,58.0,52673,19574,1994,4513
30,60.0,52630,19856,1935,4353
31,62.0,52711,19739,1984,4492
32,64.0,52519,19835,1968,4455
33,66.0,52713,19667,1933,4373
34,68.0,53107,19680,1977,4412
35,70.0,52530,19887,1941,4388
36,72.0,52441,19907,1872,4400
37,74.0,53029,19916,1897,4367
38,76.0,52361,19378,1971,4381
39,78.0,52571,19521,1940,4347
40,80.0,52215,19534,1973,4338
41,82.0,52128,19469,1956,4424
42,84.0,52409,19260,1885,4461
43,86.0,52368,19374,1949,4434
44,88.0,52128,19449,1831,4206
45,90.0,52636,19434,1815,4428
46,92.0,52249,19328,1864,4452
47,94.0,52692,19640,1944,4418
48,96.0,53143,19443,1978,4442
49,98.0,52573,19541,1859,4497
50,100.0,52288,19556,1995,4466
51,102.0,52153,19778,1953,4405
52,104.0,52310,19430,1879,4442
53,106.0,52572,19547,1929,4458
54,108.0,52975,19613,1940,4499
55,110.0,52647,19661,1832,4527
56,112.0,52682,19416,1930,4430
