,time_histo_el_s,ch0
0,0.0,654
1,2.0,659
2,4.0,689
3,6.0,634
4,8.0,640
5,10.0,579
6,12.0,631
7,14.0,672
8,16.0,658
9,18.0,629
10,20.0,626
11,22.0,662
12,24.0,680
13,26.0,659
14,28.0,644
15,30.0,669
16,32.0,681
17,34.0,672
18,36.0,659
19,38.0,660
20,40.0,640
21,42.0,647
22,44.0,628
23,46.0,657
24,48.0,646
25,50.0,654
26,52.0,692
27,54.0,678
28,56.0,643
29,58.0,622
30,60.0,630
31,62.0,697
32,64.0,620
33,66.0,680
34,68.0,629
35,70.0,629
36,72.0,671
37,74.0,660
38,76.0,637
39,78.0,640
40,80.0,634
41,82.0,654
42,84.0,651
43,86.0,684
44,88.0,667
45,90.0,677
46,92.0,653
47,94.0,660
48,96.0,605
49,98.0,686
50,100.0,656
51,102.0,636
52,104.0,662
53,106.0,649
54,108.0,648
55,110.0,658
56,112.0,637
57,114.0,680
58,116.0,638
59,118.0,679
60,120.0,629
61,122.0,652
62,124.0,659
63,126.0,629
64,128.0,657
65,130.0,639
66,132.0,641
67,134.0,649
68,136.0,606
69,138.0,641
70,140.0,660
71,142.0,685
72,144.0,640
73,146.0,660
74,148.0,661
75,150.0,638
76,152.0,672
77,154.0,700
78,156.0,627
79,158.0,638
80,160.0,630
81,162.0,630
82,164.0,692
83,166.0,603
84,168.0,673
85,170.0,640
86,172.0,667
87,174.0,653
88,176.0,624
89,178.0,637
90,180.0,709
91,182.0,603
92,184.0,660
93,186.0,670
94,188.0,647
95,190.0,674
96,192.0,657
97,194.0,674
98,196.0,644
99,198.0,693
100,200.0,661
101,202.0,672
102,204.0,653
103,206.0,686
104,208.0,610
105,210.0,669
106,212.0,650
107,214.0,623
108,216.0,627
109,218.0,631
110,220.0,666
111,222.0,622
112,224.0,674
113,226.0,634
114,228.0,630
115,230.0,638
116,232.0,615
117,234.0,617
118,236.0,610
119,238.0,648
120,240.0,617
121,242.0,653
122,244.0,618
123,246.0,662
124,248.0,668
125,250.0,642
126,252.0,639
127,254.0,642
128,256.0,646
129,258.0,624
130,260.0,591
131,262.0,627
132,264.0,637
133,266.0,624
134,268.0,684
135,270.0,617
136,272.0,643
137,274.0,638
138,276.0,602
139,278.0,654
140,280.0,660
141,282.0,660
142,284.0,688
143,286.0,697
144,288.0,620
145,290.0,645
146,292.0,672
147,294.0,645
148,296.0,606
149,298.0,668
150,300.0,614
151,302.0,605
152,304.0,636
153,306.0,646
154,308.0,657
155,310.0,642
156,312.0,675
157,314.0,652
158,316.0,661
159,318.0,635
160,320.0,599
161,322.0,636
162,324.0,625
163,326.0,659
164,328.0,670
165,330.0,688
166,332.0,599
167,334.0,623
168,336.0,642
169,338.0,632
170,340.0,642
171,342.0,584
172,344.0,620
173,346.0,608
174,348.0,585
175,350.0,621
176,352.0,589
177,354.0,616
178,356.0,603
179,358.0,609
180,360.0,664
181,362.0,618
182,364.0,617
183,366.0,617
184,368.0,673
185,370.0,607
186,372.0,645
187,374.0,616
188,376.0,639
189,378.0,615
190,380.0,625
191,382.0,629
192,384.0,566
193,386.0,601
194,388.0,630
195,390.0,633
196,392.0,643
197,394.0,611
198,396.0,619
199,398.0,631
200,400.0,641
201,402.0,651
202,404.0,623
203,406.0,595
204,408.0,681
205,410.0,614
206,412.0,608
207,414.0,607
208,416.0,637
209,418.0,625
210,420.0,610
211,422.0,590
212,424.0,611
213,426.0,674
214,428.0,600
215,430.0,646
216,432.0,603
217,434.0,638
218,436.0,706
219,438.0,661
220,440.0,632
221,442.0,616
222,444.0,656
223,446.0,609
224,448.0,626
225,450.0,596
226,452.0,620
227,454.0,659
228,456.0,635
229,458.0,644
230,460.0,654
231,462.0,630
232,464.0,686
233,466.0,620
234,468.0,618
235,470.0,618
236,472.0,677
237,474.0,649
238,476.0,679
239,478.0,629
240,480.0,608
241,482.0,652
242,484.0,643
243,486.0,661
244,488.0,624
245,490.0,624
246,492.0,649
247,494.0,581
248,496.0,683
249,498.0,660
250,500.0,666
251,502.0,616
252,504.0,628
253,506.0,594
254,508.0,660
255,510.0,658
256,512.0,646
257,514.0,672
258,516.0,633
259,518.0,681
260,520.0,675
261,522.0,648
262,524.0,661
263,526.0,600
264,528.0,648
265,530.0,631
266,532.0,677
267,534.0,657
268,536.0,640
269,538.0,598
270,540.0,612
271,542.0,646
272,544.0,686
273,546.0,628
274,548.0,636
275,550.0,653
276,552.0,656
277,554.0,614
278,556.0,658
279,558.0,658
280,560.0,618
281,562.0,621
282,564.0,645
283,566.0,642
284,568.0,675
285,570.0,601
286,572.0,668
287,574.0,653
288,576.0,617
289,578.0,653
290,580.0,633
291,582.0,585
292,584.0,623
293,586.0,606
294,588.0,648
295,590.0,589
296,592.0,564
297,594.0,619
298,596.0,586
299,598.0,658
300,600.0,619
301,602.0,631
302,604.0,559
303,606.0,639
304,608.0,567
305,610.0,630
306,612.0,624
307,614.0,615
308,616.0,610
309,618.0,589
310,620.0,624
311,622.0,631
312,624.0,625
313,626.0,601
314,628.0,658
315,630.0,614
316,632.0,623
317,634.0,628
318,636.0,644
319,638.0,644
320,640.0,625
321,642.0,604
322,644.0,704
323,646.0,651
324,648.0,621
325,650.0,647
326,652.0,622
327,654.0,604
328,656.0,616
329,658.0,592
330,660.0,608
331,662.0,565
332,664.0,638
333,666.0,670
334,668.0,589
335,670.0,616
336,672.0,685
337,674.0,654
338,676.0,664
339,678.0,594
340,680.0,638
341,682.0,588
342,684.0,598
343,686.0,648
344,688.0,654
345,690.0,630
346,692.0,614
347,694.0,648
348,696.0,639
349,698.0,669
350,700.0,586
351,702.0,618
352,704.0,623
353,706.0,662
354,708.0,634
