delay_(ps),counts_per_90_min
0,894.1868355377896
240,882.4077771978984
640,944.1307640874262
720,920.4658423608807
800,787.8946578455381
840,727.6919966562435
880,643.026633950732
920,671.1190557263877
960,704.4677462541791
1000,805.3022186130204
1040,842.1557866082112
1120,922.8350317440198
1200,960.7370845308818
1600,928.1900563211975
