,time_histo_el_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
0,0.0,172705,183363,0,0,0,0,172705,183363
1,2.0,188464,200146,5,1,0,0,188464,200146
2,4.0,202095,220727,1,0,0,0,202095,220727
3,6.0,199568,217907,1,0,0,0,199568,217907
4,8.0,203094,204067,0,0,0,0,203094,204067
5,10.0,200812,196450,5,0,0,0,200812,196450
6,12.0,201806,179100,5,1,1,0,201806,179100
7,14.0,223588,180461,2,0,0,0,223588,180461
8,16.0,203174,180127,7,0,1,0,203174,180127
9,18.0,208894,179452,3,1,0,0,208894,179452
10,20.0,210411,177452,3,0,0,0,210411,177452
11,22.0,220025,176865,6,1,0,0,220025,176865
12,24.0,221121,179940,1,0,0,0,221121,179940
13,26.0,215183,180523,7,0,0,0,215183,180523
14,28.0,217505,177315,4,0,2,0,217505,177315
15,30.0,215148,176734,4,3,0,0,215148,176734
16,32.0,213153,176935,4,0,1,0,213153,176935
17,34.0,209755,181045,1,0,0,0,209755,181045
18,36.0,204582,180171,0,0,0,0,204582,180171
19,38.0,201896,179789,4,0,0,0,201896,179789
20,40.0,201035,181872,2,0,1,0,201035,181872
21,42.0,203052,184693,2,0,0,0,203052,184693
22,44.0,206121,174835,2,0,0,0,206121,174835
23,46.0,211173,169008,1,0,0,0,211173,169008
24,48.0,212593,164906,1,0,0,0,212593,164906
25,50.0,213837,161570,1,1,0,0,213837,161570
26,52.0,215808,162144,2,1,0,0,215808,162144
27,54.0,219417,165965,3,0,1,0,219417,165965
28,56.0,217698,169606,3,0,1,0,217698,169606
29,58.0,219235,170147,4,1,0,0,219235,170147
30,60.0,230947,162039,4,0,0,0,230947,162039
31,62.0,234096,166473,0,0,0,0,234096,166473
32,64.0,224648,164992,4,1,1,0,224648,164992
33,66.0,211064,159856,1,0,0,0,211064,159856
34,68.0,211838,158731,3,0,0,0,211838,158731
35,70.0,214137,158320,5,2,0,0,214137,158320
36,72.0,217157,159331,2,0,0,0,217157,159331
37,74.0,223088,157206,4,0,1,0,223088,157206
38,76.0,221809,154586,3,0,0,0,221809,154586
39,78.0,222469,158417,3,0,0,0,222469,158417
40,80.0,220142,164538,2,1,0,0,220142,164538
41,82.0,217548,168756,5,0,0,0,217548,168756
42,84.0,215902,167087,5,2,1,0,215902,167087
43,86.0,217634,169724,4,0,0,0,217634,169724
44,88.0,215205,171922,0,0,0,0,215205,171922
45,90.0,212979,179953,4,0,0,0,212979,179953
46,92.0,219704,183706,2,0,0,0,219704,183706
47,94.0,223795,179042,4,0,0,0,223795,179042
48,96.0,213362,181418,2,0,1,0,213362,181418
49,98.0,208517,185723,2,0,0,0,208517,185723
50,100.0,213401,188529,1,0,0,0,213401,188529
51,102.0,218056,188601,1,0,0,0,218056,188601
52,104.0,213361,182863,7,1,0,0,213361,182863
53,106.0,214631,191487,4,1,1,0,214631,191487
54,108.0,211896,198085,3,0,0,0,211896,198085
55,110.0,210089,198107,2,0,0,0,210089,198107
56,112.0,209205,193335,6,0,0,0,209205,193335
57,114.0,203398,183217,3,0,1,0,203398,183217
58,116.0,202363,182297,3,0,1,0,202363,182297
59,118.0,200484,187194,7,1,1,0,200484,187194
60,120.0,198239,186813,2,0,0,0,198239,186813
61,122.0,196393,186192,4,0,1,0,196393,186192
62,124.0,194765,185871,1,0,0,0,194765,185871
63,126.0,197028,196618,5,0,0,0,197028,196618
64,128.0,203948,199937,3,0,0,0,203948,199937
65,130.0,194911,206887,4,1,0,0,194911,206887
66,132.0,194522,207324,2,0,0,0,194522,207324
67,134.0,195388,217412,3,0,1,0,195388,217412
68,136.0,193268,226450,4,1,0,0,193268,226450
69,138.0,193132,228001,1,0,0,0,193132,228001
70,140.0,209316,218652,3,0,0,0,209316,218652
71,142.0,195536,213507,4,0,0,0,195536,213507
72,144.0,195015,207370,4,0,0,0,195015,207370
73,146.0,189658,201024,7,1,0,0,189658,201024
74,148.0,188660,204447,4,0,0,0,188660,204447
75,150.0,186770,207718,3,0,0,0,186770,207718
76,152.0,183962,211479,2,0,0,0,183962,211479
77,154.0,187035,219087,3,0,0,0,187035,219087
78,156.0,188401,216112,3,0,0,0,188401,216112
79,158.0,189188,215864,5,0,0,0,189188,215864
80,160.0,185376,215013,2,0,0,0,185376,215013
81,162.0,185901,211937,3,0,0,0,185901,211937
82,164.0,186977,210342,5,0,1,0,186977,210342
83,166.0,187487,218551,3,0,0,0,187487,218551
84,168.0,191419,220087,3,0,1,0,191419,220087
85,170.0,191415,218025,4,1,0,0,191415,218025
86,172.0,190978,227689,6,1,0,0,190978,227689
87,174.0,189419,233013,2,1,0,0,189419,233013
88,176.0,187473,242277,5,0,1,0,187473,242277
89,178.0,184838,247772,5,0,1,0,184838,247772
90,180.0,182586,254247,8,1,0,0,182586,254247
91,182.0,180724,254896,3,0,0,0,180724,254896
92,184.0,176228,246261,5,0,0,0,176228,246261
93,186.0,177304,256585,1,0,0,0,177304,256585
94,188.0,183199,266111,4,1,0,0,183199,266111
95,190.0,201802,263146,6,0,0,0,201802,263146
96,192.0,176533,257281,7,0,0,0,176533,257281
97,194.0,177222,251114,3,0,0,0,177222,251114
98,196.0,181033,237437,2,0,0,0,181033,237437
99,198.0,183858,230450,0,0,0,0,183858,230450
100,200.0,183705,224215,4,1,1,1,183705,224215
101,202.0,188716,229262,4,0,2,0,188716,229262
102,204.0,189716,229062,4,0,0,0,189716,229062
103,206.0,187616,235824,4,0,1,0,187616,235824
104,208.0,187324,242976,4,0,0,0,187324,242976
105,210.0,183294,236477,7,1,1,0,183294,236477
106,212.0,185898,231433,3,0,0,0,185898,231433
107,214.0,180620,223532,3,0,0,0,180620,223532
108,216.0,185306,222685,3,0,1,0,185306,222685
109,218.0,183759,216847,2,0,0,0,183759,216847
110,220.0,181337,216064,5,1,0,0,181337,216064
111,222.0,182624,221470,2,0,0,0,182624,221470
112,224.0,185642,228770,1,0,0,0,185642,228770
113,226.0,187785,227807,2,0,0,0,187785,227807
114,228.0,188725,220622,7,0,1,0,188725,220622
115,230.0,190656,211117,4,0,2,0,190656,211117
116,232.0,196259,203973,1,0,0,0,196259,203973
117,234.0,198987,206406,5,0,1,0,198987,206406
118,236.0,199229,206398,7,0,0,0,199229,206398
119,238.0,202601,198776,0,0,0,0,202601,198776
120,240.0,200491,194809,6,1,0,0,200491,194809
121,242.0,200917,197377,3,0,1,0,200917,197377
122,244.0,198575,194212,8,1,1,0,198575,194212
123,246.0,198742,195149,5,0,0,0,198742,195149
124,248.0,194617,194919,1,0,0,0,194617,194919
125,250.0,193745,193065,4,1,0,0,193745,193065
126,252.0,193712,194672,6,1,0,0,193712,194672
127,254.0,192407,198265,3,0,0,0,192407,198265
128,256.0,189419,195292,4,1,0,0,189419,195292
129,258.0,191088,200621,3,0,0,0,191088,200621
130,260.0,190699,197947,2,0,0,0,190699,197947
131,262.0,191751,190286,3,0,0,0,191751,190286
132,264.0,191794,190383,5,0,0,0,191794,190383
133,266.0,192429,201094,2,0,0,0,192429,201094
134,268.0,190225,201654,3,0,1,0,190225,201654
135,270.0,184654,199724,7,0,0,0,184654,199724
136,272.0,182539,203797,3,0,0,0,182539,203797
137,274.0,184880,209255,4,0,2,0,184880,209255
138,276.0,181656,206311,2,0,0,0,181656,206311
139,278.0,177891,202469,6,1,0,0,177891,202469
140,280.0,178464,206186,4,0,0,0,178464,206186
141,282.0,179635,201669,3,0,0,0,179635,201669
142,284.0,180619,204299,9,1,0,0,180619,204299
143,286.0,179411,209127,5,0,0,0,179411,209127
144,288.0,178157,215963,4,0,0,0,178157,215963
145,290.0,176502,214810,2,0,0,0,176502,214810
146,293.0,176052,217629,2,0,0,0,176052,217629
147,295.0,175623,226074,4,0,0,0,175623,226074
148,297.0,171332,228366,2,0,0,0,171332,228366
149,299.0,172454,233915,5,0,1,0,172454,233915
150,301.0,173278,233128,6,0,0,0,173278,233128
151,303.0,174783,225315,4,0,0,0,174783,225315
152,305.0,173461,216306,1,0,0,0,173461,216306
153,307.0,177139,219195,2,0,0,0,177139,219195
154,309.0,174333,219825,2,0,1,0,174333,219825
155,311.0,176444,219316,4,0,1,0,176444,219316
156,313.0,176540,218911,4,0,1,0,176540,218911
157,315.0,177009,215883,4,0,0,0,177009,215883
158,317.0,178353,214478,1,0,0,0,178353,214478
159,319.0,178470,216650,6,0,0,0,178470,216650
160,321.0,184289,225781,3,0,0,0,184289,225781
161,323.0,181093,229045,4,0,1,0,181093,229045
162,325.0,179594,231816,7,1,0,0,179594,231816
163,327.0,181463,228405,4,0,1,0,181463,228405
164,329.0,181026,226655,4,1,0,0,181026,226655
165,331.0,177634,227277,6,2,0,0,177634,227277
166,333.0,178615,229231,7,1,0,0,178615,229231
167,335.0,179327,229809,2,1,0,0,179327,229809
168,337.0,184738,226692,1,0,0,0,184738,226692
169,339.0,189471,220096,4,1,0,0,189471,220096
170,341.0,194487,216464,6,0,0,0,194487,216464
171,343.0,194737,211923,5,0,1,0,194737,211923
172,345.0,193295,206678,2,0,0,0,193295,206678
173,347.0,194164,199209,3,0,0,0,194164,199209
174,349.0,197690,189649,6,0,0,0,197690,189649
175,351.0,199518,189416,4,0,0,0,199518,189416
176,353.0,201028,192291,2,0,0,0,201028,192291
177,355.0,201582,200521,1,0,0,0,201582,200521
178,357.0,198107,207219,2,0,0,0,198107,207219
179,359.0,194400,210636,3,0,1,0,194400,210636
180,361.0,190384,210774,2,0,0,0,190384,210774
181,363.0,190877,210161,7,0,0,0,190877,210161
182,365.0,189031,209766,4,0,0,0,189031,209766
183,367.0,186158,207975,4,1,1,0,186158,207975
184,369.0,192183,196604,3,0,0,0,192183,196604
185,371.0,199970,186523,7,0,0,0,199970,186523
186,373.0,206553,187068,4,1,0,0,206553,187068
187,375.0,202813,182343,4,1,0,0,202813,182343
188,377.0,198018,180725,6,0,0,0,198018,180725
189,379.0,195872,182150,2,0,1,0,195872,182150
190,381.0,193430,180313,7,0,0,0,193430,180313
191,383.0,198708,177440,2,0,0,0,198708,177440
192,385.0,194882,172086,1,0,0,0,194882,172086
193,387.0,193169,175261,4,0,0,0,193169,175261
194,389.0,194589,180657,1,0,0,0,194589,180657
195,391.0,187897,184311,5,0,0,0,187897,184311
196,393.0,191969,185647,2,0,0,0,191969,185647
197,395.0,192760,186174,3,0,1,0,192760,186174
198,397.0,192050,187902,1,0,0,0,192050,187902
199,399.0,189813,193146,4,0,0,0,189813,193146
200,401.0,186598,192053,4,0,0,0,186598,192053
201,403.0,208795,180055,7,1,1,0,208795,180055
202,405.0,193063,191404,5,0,0,0,193063,191404
203,407.0,177503,206939,3,0,0,0,177503,206939
204,409.0,181821,216122,4,0,1,0,181821,216122
