,time_histo_el_s,A0,B0,C0,D0
0,0.0,60644,22679,502,2658
1,2.0,60507,22452,509,2551
2,4.0,60406,22607,523,2579
3,6.0,60730,22590,529,2571
4,8.0,60619,22684,522,2606
5,10.0,60648,22726,541,2634
6,12.0,60781,22491,493,2726
7,14.0,60355,22607,551,2626
8,16.0,60654,22553,548,2643
9,18.0,60296,22893,501,2656
10,20.0,60194,22351,529,2560
11,22.0,60903,22598,495,2761
12,24.0,60386,22419,539,2679
13,26.0,60118,22477,543,2497
14,28.0,60439,22541,533,2567
15,30.0,59608,22487,572,2571
16,32.0,60175,22399,545,2600
17,34.0,60644,22511,523,2565
18,36.0,59960,22430,517,2564
19,38.0,60382,22744,583,2711
20,40.0,59660,22644,501,2632
21,42.0,60283,22529,513,2629
22,44.0,59789,22254,489,2563
23,46.0,60051,22517,540,2541
24,48.0,60050,22462,535,2615
25,50.0,60424,22253,521,2631
26,52.0,60222,22605,578,2611
27,54.0,60121,22502,527,2661
28,56.0,60246,22381,513,2585
29,58.0,60300,22251,496,2593
30,60.0,60013,22469,501,2608
31,62.0,60206,22240,493,2609
32,64.0,60237,22394,533,2654
33,66.0,60152,22167,543,2657
34,68.0,59912,22720,521,2687
35,70.0,60181,22609,534,2678
36,72.0,60084,22392,552,2605
37,74.0,60364,22435,534,2658
38,76.0,60085,22517,514,2648
39,78.0,60068,22345,527,2674
40,80.0,60262,22412,547,2654
41,82.0,60020,22259,539,2716
42,84.0,60452,22540,552,2652
43,86.0,59731,22386,542,2562
44,88.0,60164,22601,518,2615
45,90.0,60267,22289,532,2743
46,92.0,60005,22593,555,2614
47,94.0,60001,22225,574,2611
48,96.0,60074,22632,537,2739
49,98.0,60160,22375,491,2644
50,100.0,60399,22511,497,2525
51,102.0,60021,22204,554,2601
52,104.0,60601,22434,481,2559
53,106.0,60336,22805,539,2636
54,108.0,59775,22629,510,2602
55,110.0,60276,22789,518,2540
56,112.0,60186,22246,508,2641
57,114.0,60209,22356,539,2613
58,116.0,60484,22442,537,2605
