,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,29740,13217,451,10788,4292,269,527,5694,967,1398,2110,4266
1,2.0,18159,8180,273,6727,2765,140,330,3486,643,798,1318,2630
2,4.0,29357,29359,410,11067,10203,243,520,519,2887,1318,2005,4183
3,6.0,29768,29771,460,10775,9926,225,534,544,2957,1372,2195,4251
4,8.0,29589,29600,462,11007,10176,278,478,541,2918,1415,2107,4389
5,10.0,29818,29806,481,10898,10046,248,518,515,2881,1436,2018,4249
6,12.0,30058,30061,493,10971,10126,239,512,466,2846,1458,2046,4384
7,14.0,30191,30214,458,10933,10103,251,552,505,2810,1433,2080,4427
8,16.0,29688,29649,433,10976,10178,252,534,503,2935,1386,2095,4330
9,18.0,29897,29887,440,11124,10327,267,501,544,2889,1424,2111,4273
10,20.0,29935,29958,455,11058,10251,276,515,516,2922,1401,2040,4245
11,22.0,29911,29887,456,10944,10134,243,486,499,2914,1412,2108,4312
12,24.0,30106,30115,473,11047,10228,255,515,492,2970,1348,2105,4249
13,26.0,30215,30231,501,11041,10282,244,509,456,2880,1476,2134,4359
14,28.0,30029,30043,498,11065,10246,291,546,521,2920,1427,2072,4228
15,30.0,29913,29929,463,11211,10413,269,536,498,2863,1400,2038,4396
16,32.0,30141,30176,500,10988,10210,276,501,483,2813,1374,2134,4334
17,34.0,29868,29894,444,11188,10369,271,498,483,2939,1402,2140,4126
18,36.0,30008,30006,474,11025,10234,257,509,516,2951,1427,2090,4244
19,38.0,29963,29974,453,11219,10360,294,491,525,2844,1385,2111,4235
20,40.0,30177,30194,493,10905,10130,251,491,533,2851,1355,2159,4310
21,42.0,30034,30053,490,11227,10338,253,440,535,2899,1441,2092,4328
22,44.0,30051,30044,492,10989,10194,283,518,508,2971,1378,2063,4393
23,46.0,30101,30108,468,11190,10315,262,522,465,2826,1384,2135,4304
24,48.0,30151,30145,459,10863,10088,266,508,522,2914,1434,2089,4316
25,50.0,29525,29510,495,11052,10257,290,514,513,2944,1418,2034,4200
26,52.0,30185,30169,488,10892,10127,295,532,530,2906,1421,2027,4273
27,54.0,29466,29465,449,11102,10324,253,536,509,2945,1463,2064,4318
28,56.0,29960,29947,461,10921,10185,264,511,552,2898,1377,2139,4142
29,58.0,29657,29655,452,11029,10233,263,524,464,2942,1395,2064,4160
30,60.0,30430,30408,493,10805,10031,257,505,507,2978,1388,2108,4423
31,62.0,30039,30057,474,10997,10226,289,566,514,2964,1374,2166,4307
32,64.0,30073,30060,418,11022,10171,273,517,520,2987,1430,2122,4333
33,66.0,29710,29717,493,11203,10338,233,510,523,2911,1395,2164,4194
34,68.0,29968,29957,466,11191,10329,264,530,491,2997,1398,2081,4263
35,70.0,29965,29959,435,10893,10074,228,539,514,2924,1402,2146,4255
36,72.0,30514,30529,481,11060,10309,289,524,517,3013,1305,2115,4308
37,74.0,30563,30533,463,11286,10426,259,489,539,2933,1428,2148,4357
38,76.0,30452,30447,464,11125,10292,286,485,528,2839,1424,2096,4278
39,78.0,30008,30028,481,11051,10199,269,515,542,2898,1397,2200,4364
40,80.0,30156,30157,498,11156,10317,273,515,526,3002,1425,2077,4430
41,82.0,30353,30328,452,11098,10299,238,540,493,2899,1371,2084,4269
42,84.0,30342,30352,496,11116,10317,276,500,553,2936,1394,2129,4401
43,86.0,30353,30348,481,11067,10217,235,491,526,2864,1359,2034,4344
44,88.0,30282,30315,524,11221,10403,262,544,514,2942,1437,2062,4226
45,90.0,30355,30382,457,10992,10183,264,536,507,2942,1375,2117,4255
46,92.0,30158,30153,469,11132,10363,264,546,509,2903,1420,2122,4422
47,94.0,30049,30041,496,11052,10265,277,466,517,2839,1420,2121,4322
48,96.0,30218,30231,461,11029,10239,260,497,510,3023,1350,2164,4256
49,98.0,29962,29959,477,11076,10235,243,479,529,2824,1388,2072,4434
50,100.0,30078,30063,480,11012,10176,233,514,510,2890,1414,2045,4352
51,102.0,30150,30131,470,11023,10256,270,500,486,2939,1437,2079,4312
52,104.0,29758,29763,457,11007,10218,248,495,484,2968,1472,2095,4215
53,106.0,30128,30113,456,11051,10269,249,518,498,2947,1455,2097,4259
54,108.0,30070,30077,480,11034,10210,273,531,545,2906,1411,2131,4313
55,110.0,30049,30036,453,11045,10232,264,560,555,2919,1406,2091,4296
56,112.0,29840,29843,473,10917,10091,249,486,516,2923,1383,2102,4294
57,114.0,30030,30051,475,11048,10220,249,538,502,2817,1417,2022,4246
58,116.0,30102,30100,473,11048,10152,230,544,493,2864,1412,2169,4228
59,118.0,30012,30009,462,10888,10121,275,511,548,2983,1374,2065,4240
60,120.0,29823,29813,446,10919,10135,240,539,532,2806,1314,2046,4293
61,122.0,24606,24606,380,9022,8367,239,438,450,2599,1168,1676,3538
62,124.0,29727,29731,468,10867,10050,277,476,487,3517,1433,2113,4318
63,126.0,29916,29887,467,10783,9955,224,545,522,3489,1434,2080,4118
64,128.0,29748,29759,471,10841,10081,250,514,522,3569,1391,2063,4192
65,130.0,29649,29604,460,10881,10067,260,537,555,3474,1360,2118,4283
66,132.0,29625,29612,455,11019,10197,268,518,522,3504,1371,2085,4202
67,134.0,29673,29697,491,10976,10163,257,494,510,3469,1397,2144,4321
68,136.0,29883,29878,452,11034,10158,247,510,516,3598,1453,2127,4264
69,138.0,30254,30242,435,11062,10340,267,526,571,3603,1459,2110,4301
70,140.0,30190,30188,477,11048,10251,269,571,525,3470,1487,2114,4131
71,142.0,29953,29903,459,10854,10066,263,479,500,3554,1434,2057,4211
72,144.0,29648,29655,457,11174,10307,242,523,525,3568,1382,2117,4248
73,146.0,29827,29823,483,11157,10376,265,537,497,3586,1395,2070,4266
74,148.0,29752,29723,452,11036,10213,253,541,525,3626,1371,2124,4194
75,150.0,29811,29813,461,11142,10365,293,447,527,3478,1390,2098,4259
76,152.0,29994,29992,481,10812,10009,258,510,508,3662,1357,2138,4232
77,154.0,30126,30157,469,11240,10419,304,526,493,3533,1411,2150,4271
78,156.0,30044,30043,458,10986,10157,248,527,529,3503,1409,2083,4347
79,158.0,29586,29625,487,10897,10033,254,511,546,3537,1475,2064,4350
80,160.0,29917,29897,456,11130,10299,230,493,542,3505,1380,2067,4355
81,162.0,29802,29778,434,11060,10260,249,539,508,3481,1436,2168,4241
82,164.0,30017,29976,482,10870,10010,271,498,493,3605,1429,2113,4346
83,166.0,29996,30012,459,11213,10362,236,524,512,3580,1393,2076,4226
84,168.0,29903,29876,424,11014,10209,266,534,530,3599,1395,2015,4277
85,170.0,29910,29930,475,10939,10111,239,536,543,3544,1342,2060,4234
86,172.0,29792,29799,430,11083,10306,280,531,536,3569,1343,2230,4241
87,174.0,29762,29738,444,10999,10213,297,513,508,3515,1365,2119,4280
88,176.0,29588,29627,506,10839,10076,273,513,494,3529,1396,2103,4275
89,178.0,29643,29676,474,10960,10134,263,486,484,3543,1368,2093,4347
90,180.0,30138,30125,423,11105,10325,251,556,490,3532,1460,2120,4308
91,182.0,30181,30185,485,11073,10293,318,526,537,3530,1390,2025,4281
92,184.0,29966,29959,476,10955,10127,271,496,522,3519,1341,2115,4217
93,186.0,29869,29857,451,11048,10296,231,546,522,3492,1445,2134,4266
94,188.0,29881,29854,445,11156,10339,253,520,511,3532,1423,2028,4166
95,190.0,29929,29937,472,11048,10197,282,548,496,3517,1369,2065,4224
96,192.0,29778,29825,515,10985,10170,254,537,516,3660,1482,2132,4217
97,194.0,30079,30067,477,10815,10051,265,515,513,3584,1433,2082,4301
98,196.0,29688,29665,443,11117,10273,263,528,511,3628,1393,2043,4242
99,198.0,29733,29750,467,10964,10163,257,518,552,3492,1413,2111,4259
100,200.0,29883,29878,503,11079,10300,259,534,535,3542,1335,2085,4306
101,202.0,29713,29705,496,10957,10169,279,487,526,3609,1434,2086,4164
102,204.0,29432,29412,457,10921,10196,265,507,472,3577,1430,1987,4267
103,206.0,29469,29473,451,11000,10213,241,527,516,3548,1397,2080,4097
104,208.0,29426,29425,462,10896,10154,226,517,507,3430,1335,2114,4155
105,210.0,28865,28905,483,10600,9829,213,516,504,3525,1383,2145,4170
106,212.0,29225,29216,457,10721,9954,227,507,537,3621,1415,2005,4067
107,214.0,29391,29385,480,10857,10099,280,532,528,3548,1339,2032,4014
108,216.0,29742,29747,477,10793,10012,254,532,529,3494,1404,2080,4261
109,218.0,29185,29203,473,10603,9860,244,519,520,3547,1388,2052,4057
110,220.0,29220,29237,454,10935,10106,263,520,478,3594,1416,2054,4200
111,222.0,29662,29706,498,11018,10210,247,491,520,3647,1479,2108,4124
112,224.0,29885,29906,485,10842,10046,261,532,581,3535,1427,2084,4199
113,226.0,29643,29669,440,10978,10212,261,535,492,3558,1404,2118,4268
114,228.0,29837,29828,481,11024,10206,264,510,562,3521,1383,2142,4285
115,230.0,30152,30154,466,11082,10244,265,507,530,3569,1409,2049,4320
116,232.0,29991,29969,481,11000,10186,258,497,534,3477,1464,2176,4314
117,234.0,30118,30125,466,11074,10250,278,506,518,3573,1445,2093,4310
118,236.0,29564,29562,467,11060,10306,239,522,524,3563,1428,1989,4155
119,238.0,29891,29901,514,10992,10165,226,527,500,3603,1356,2104,4169
120,240.0,29653,29660,482,11059,10250,240,489,532,3636,1392,2068,4162
121,242.0,24377,24385,379,9012,8376,202,432,435,3136,1138,1697,3533
122,244.0,29763,29759,438,10855,10022,267,498,562,4825,1430,2053,4189
123,246.0,29992,29987,455,10900,10083,239,509,524,4882,1382,2177,4216
124,248.0,30259,30244,465,10966,10192,256,523,510,4888,1421,2133,4346
125,250.0,29885,29900,434,11078,10331,271,525,540,4799,1428,2114,4246
126,252.0,29662,29659,474,10716,10010,269,501,492,4855,1421,2058,4227
127,254.0,30037,30018,462,10941,10149,261,516,521,4793,1335,2121,4238
128,256.0,29819,29799,466,10975,10207,262,511,531,4958,1344,1976,4118
129,258.0,30145,30133,463,11031,10189,267,451,513,4969,1424,2085,4161
