delay_(ps),counts_per_90_min
0,28267.58203515409
240,28732.10225918121
640,28687.331089070365
720,28612.68070978798
800,26969.817369368546
840,25923.678869386025
880,25050.202073258173
920,25609.52771529897
960,26485.35021411768
1000,28006.202010733003
1040,29229.664982707167
1120,30374.73055525785
1200,30524.099675656515
1600,30487.846035761086
