delay_(ps),counts_per_90_min
0,8253.264665832385
240,8520.604146897565
640,8413.542713875191
720,8195.68679212691
800,8330.360795488667
840,7946.342984991087
880,7722.675833253271
920,7611.49531147821
960,7339.471739165691
1000,7575.395605981812
1040,7542.561800841695
1120,8086.3653035471925
1200,8336.46952671852
1600,8343.325476296486
