,time_histo_el_s,ch0
398,796.0,172
399,798.0,171
400,800.0,184
401,802.0,169
402,804.0,179
403,806.0,170
404,808.0,184
405,810.0,201
406,812.0,189
407,814.0,174
408,816.0,154
409,818.0,170
410,820.0,177
411,822.0,191
412,824.0,185
413,826.0,203
414,828.0,190
415,830.0,163
416,832.0,180
417,834.0,174
418,836.0,160
419,838.0,181
420,840.0,182
421,842.0,153
422,844.0,178
423,846.0,201
424,848.0,171
425,850.0,173
426,852.0,182
427,854.0,190
428,856.0,175
429,858.0,187
430,860.0,167
431,862.0,177
432,864.0,220
433,866.0,196
434,868.0,175
435,870.0,178
436,872.0,207
437,874.0,179
438,876.0,199
439,878.0,181
440,880.0,193
441,882.0,196
442,884.0,178
443,886.0,192
444,888.0,169
445,890.0,205
446,892.0,199
447,894.0,192
448,896.0,207
449,898.0,180
450,900.0,191
451,902.0,177
452,904.0,185
453,906.0,184
454,908.0,177
455,910.0,174
456,912.0,187
457,914.0,197
458,916.0,180
459,918.0,193
460,920.0,185
461,922.0,196
462,924.0,208
463,926.0,238
464,928.0,193
465,930.0,165
466,932.0,213
467,934.0,207
468,936.0,199
469,938.0,196
470,940.0,219
471,942.0,191
472,944.0,179
473,946.0,183
474,948.0,182
475,950.0,177
476,952.0,199
477,954.0,177
478,956.0,178
479,958.0,174
480,960.0,195
481,962.0,160
482,964.0,193
483,966.0,198
484,968.0,191
485,970.0,169
486,972.0,204
487,974.0,202
488,976.0,181
489,978.0,168
490,980.0,177
491,982.0,184
492,984.0,182
493,986.0,183
494,988.0,197
495,990.0,193
496,992.0,203
497,994.0,191
498,996.0,187
499,998.0,199
500,1000.0,188
501,1002.0,186
502,1004.0,201
503,1006.0,206
504,1008.0,204
505,1010.0,193
506,1012.0,178
507,1014.0,193
508,1016.0,161
509,1018.0,186
510,1020.0,175
511,1022.0,164
512,1024.0,196
513,1026.0,212
514,1028.0,173
515,1030.0,198
516,1032.0,184
517,1034.0,189
518,1036.0,184
519,1038.0,178
520,1040.0,178
521,1042.0,214
522,1044.0,178
523,1046.0,201
524,1048.0,199
525,1050.0,182
526,1052.0,186
527,1054.0,177
528,1056.0,214
529,1058.0,195
530,1060.0,189
531,1062.0,181
532,1064.0,178
533,1066.0,181
534,1068.0,164
535,1070.0,193
536,1072.0,226
537,1074.0,186
538,1076.0,192
539,1078.0,191
540,1080.0,178
541,1082.0,173
542,1084.0,193
543,1086.0,192
544,1088.0,213
545,1090.0,194
546,1092.0,197
547,1094.0,191
548,1096.0,178
549,1098.0,211
550,1100.0,200
551,1102.0,191
552,1104.0,186
553,1106.0,187
554,1108.0,191
555,1110.0,182
556,1112.0,179
557,1114.0,206
558,1116.0,189
559,1118.0,197
560,1120.0,186
561,1122.0,203
562,1124.0,182
563,1127.0,197
564,1129.0,190
565,1131.0,182
566,1133.0,178
567,1135.0,211
568,1137.0,204
569,1139.0,194
570,1141.0,209
571,1143.0,189
572,1145.0,200
573,1147.0,186
574,1149.0,190
575,1151.0,183
576,1153.0,189
577,1155.0,201
578,1157.0,216
579,1159.0,191
580,1161.0,181
581,1163.0,204
582,1165.0,190
583,1167.0,198
584,1169.0,204
585,1171.0,200
586,1173.0,176
587,1175.0,194
588,1177.0,183
589,1179.0,186
590,1181.0,212
591,1183.0,213
592,1185.0,177
593,1187.0,169
594,1189.0,173
595,1191.0,209
596,1193.0,216
597,1195.0,195
598,1197.0,192
599,1199.0,195
600,1201.0,222
601,1203.0,148
602,1205.0,216
603,1207.0,171
604,1209.0,190
605,1211.0,187
606,1213.0,208
607,1215.0,172
608,1217.0,174
609,1219.0,223
610,1221.0,169
611,1223.0,197
612,1225.0,196
613,1227.0,187
614,1229.0,192
615,1231.0,177
616,1233.0,200
617,1235.0,163
618,1237.0,154
619,1239.0,176
620,1241.0,197
621,1243.0,176
622,1245.0,205
623,1247.0,193
624,1249.0,209
625,1251.0,173
626,1253.0,188
627,1255.0,200
628,1257.0,182
629,1259.0,194
630,1261.0,186
631,1263.0,207
632,1265.0,184
633,1267.0,184
634,1269.0,178
635,1271.0,199
636,1273.0,182
637,1275.0,172
638,1277.0,173
639,1279.0,209
640,1281.0,180
641,1283.0,177
642,1285.0,184
643,1287.0,193
644,1289.0,194
645,1291.0,192
646,1293.0,181
647,1295.0,182
648,1297.0,201
649,1299.0,181
650,1301.0,186
651,1303.0,181
652,1305.0,171
653,1307.0,179
654,1309.0,184
655,1311.0,189
656,1313.0,190
657,1315.0,187
658,1317.0,175
659,1319.0,179
660,1321.0,213
661,1323.0,168
662,1325.0,198
663,1327.0,204
664,1329.0,175
665,1331.0,196
666,1333.0,185
667,1335.0,158
668,1337.0,192
669,1339.0,176
670,1341.0,161
671,1343.0,174
672,1345.0,174
673,1347.0,208
674,1349.0,206
675,1351.0,201
676,1353.0,184
677,1355.0,202
678,1357.0,184
679,1359.0,204
680,1361.0,201
681,1363.0,180
682,1365.0,194
683,1367.0,199
684,1369.0,193
685,1371.0,186
686,1373.0,202
687,1375.0,200
688,1377.0,199
689,1379.0,195
690,1381.0,210
691,1383.0,195
692,1385.0,205
693,1387.0,193
694,1389.0,192
695,1391.0,194
696,1393.0,206
697,1395.0,211
698,1397.0,208
699,1399.0,202
700,1401.0,216
701,1403.0,185
702,1405.0,179
703,1407.0,185
704,1409.0,198
705,1411.0,157
706,1413.0,204
707,1415.0,182
708,1417.0,193
709,1419.0,208
710,1421.0,195
711,1423.0,191
712,1425.0,174
713,1427.0,194
714,1429.0,188
715,1431.0,191
716,1433.0,198
717,1435.0,199
718,1437.0,198
719,1439.0,221
720,1441.0,193
721,1443.0,161
722,1445.0,199
723,1447.0,203
724,1449.0,215
725,1451.0,195
726,1453.0,210
727,1455.0,224
728,1457.0,189
