,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,1119,73,48,2
1,2.0,1838,109,94,3
2,4.0,1926,112,87,1
3,6.0,1960,116,109,3
4,8.0,1830,111,106,3
5,10.0,1892,114,83,5
6,12.0,1893,131,96,3
7,14.0,1978,127,116,2
8,16.0,1931,142,121,5
9,18.0,1967,126,126,4
10,20.0,1935,102,117,5
11,22.0,1907,117,103,4
12,24.0,1887,113,109,4
13,26.0,1866,116,97,1
14,28.0,1980,115,99,4
15,30.0,1927,124,88,1
16,32.0,1870,124,106,5
17,34.0,1877,116,101,0
18,36.0,1943,134,104,3
19,38.0,1914,124,77,3
20,40.0,1963,110,109,3
21,42.0,1901,113,91,1
22,44.0,1923,125,94,0
23,46.0,1942,121,114,6
24,48.0,1902,118,96,3
25,50.0,1849,132,92,1
26,52.0,1785,110,78,2
27,54.0,1802,128,103,5
28,56.0,1913,139,109,2
29,58.0,1761,94,90,1
30,60.0,1841,114,87,1
31,62.0,1959,114,102,2
32,64.0,1868,134,94,4
33,66.0,1902,128,100,4
34,68.0,1903,115,117,3
35,70.0,1888,100,108,1
36,72.0,1893,113,111,3
37,74.0,1924,120,97,2
38,76.0,1951,104,117,2
39,78.0,1890,87,100,3
40,80.0,1936,135,95,1
41,82.0,1880,116,93,2
42,84.0,1892,111,96,1
43,86.0,1901,148,94,7
44,88.0,1961,130,112,5
45,90.0,1886,126,111,5
46,92.0,1864,127,92,3
47,94.0,1888,124,100,4
48,96.0,1862,121,99,1
49,98.0,2036,114,100,3
50,100.0,1873,114,116,5
51,102.0,1952,118,106,4
52,104.0,2015,141,106,2
53,106.0,2081,122,101,4
54,108.0,1953,128,98,2
55,110.0,1985,135,110,6
56,112.0,1891,114,100,8
57,114.0,1883,106,90,2
58,116.0,1905,138,99,5
59,118.0,1841,118,93,1
60,120.0,1876,120,94,2
61,122.0,1846,102,101,5
62,124.0,1801,105,90,4
63,126.0,1827,115,95,3
64,128.0,1892,109,111,2
65,130.0,1930,120,92,2
66,132.0,1915,121,94,2
67,134.0,1929,108,88,1
68,136.0,1999,117,98,2
69,138.0,1904,103,101,2
70,140.0,1868,113,118,3
71,142.0,2042,122,111,4
72,144.0,2021,148,125,2
73,146.0,2036,136,111,5
74,148.0,1955,95,99,4
75,150.0,2006,125,124,1
76,152.0,1917,109,86,4
77,154.0,1953,119,94,4
78,156.0,1918,114,100,4
79,158.0,1919,120,108,2
80,160.0,1892,118,102,1
81,162.0,1941,137,87,3
82,164.0,1963,100,113,1
83,166.0,1869,104,102,3
84,168.0,1935,144,112,5
85,170.0,1926,111,108,2
86,172.0,1910,99,125,3
87,174.0,1988,110,108,2
88,176.0,1840,117,107,6
89,178.0,1937,140,102,1
90,180.0,1945,132,98,2
91,182.0,1891,106,100,4
92,184.0,1977,120,114,2
93,186.0,1952,116,83,4
94,188.0,2002,125,113,1
95,191.0,1925,113,94,0
96,193.0,1939,111,114,5
97,195.0,1971,127,114,4
98,197.0,1982,115,104,6
99,199.0,1967,130,112,5
100,201.0,1948,107,97,2
101,203.0,2005,130,98,2
102,205.0,1970,110,104,2
103,207.0,1935,141,94,4
104,209.0,1968,137,100,4
105,211.0,1993,128,92,2
106,213.0,1943,138,112,2
107,215.0,2011,129,107,5
108,217.0,1995,139,107,2
109,219.0,1804,98,88,1
110,221.0,1915,111,91,0
111,223.0,1848,112,96,2
112,225.0,1809,107,100,2
113,227.0,1833,110,86,2
114,229.0,1882,123,95,5
115,231.0,1859,127,87,0
116,233.0,1878,116,107,3
117,235.0,1920,118,93,2
118,237.0,1832,110,86,4
119,239.0,1886,121,105,4
120,241.0,1920,122,97,1
121,243.0,1981,134,114,4
122,245.0,1949,119,97,1
123,247.0,1907,109,111,5
124,249.0,1934,132,95,1
125,251.0,1874,143,77,3
126,253.0,1831,84,102,3
127,255.0,1849,111,90,3
128,257.0,1814,116,93,2
129,259.0,1785,106,91,2
130,261.0,1854,108,105,1
131,263.0,1822,98,93,2
132,265.0,1894,124,121,7
133,267.0,1934,121,92,2
134,269.0,1871,104,104,1
135,271.0,1893,101,95,1
136,273.0,1816,125,100,1
137,275.0,1932,124,108,6
138,277.0,1825,123,96,1
139,279.0,1877,104,101,2
140,281.0,1822,111,78,1
141,283.0,1883,125,107,4
142,285.0,1895,121,107,3
143,287.0,1811,112,105,3
144,289.0,1849,110,98,2
145,291.0,1905,129,96,4
146,293.0,1776,98,106,4
147,295.0,1856,108,100,1
148,297.0,1932,110,108,5
149,299.0,1893,128,100,3
150,301.0,1524,102,70,2
151,303.0,1829,106,108,4
152,305.0,1872,124,105,4
153,307.0,1916,134,103,6
154,309.0,1863,110,89,2
155,311.0,2028,146,101,5
156,313.0,1988,125,113,4
157,315.0,1940,130,96,4
158,317.0,1938,117,95,3
159,319.0,1859,115,120,4
160,321.0,1879,115,70,3
161,323.0,1919,136,103,2
162,325.0,1902,116,114,7
163,327.0,1822,117,98,5
164,329.0,1842,114,103,3
165,331.0,1892,115,73,3
166,333.0,2060,131,100,3
167,335.0,2020,151,109,5
168,337.0,2004,129,90,3
169,339.0,1929,128,103,0
170,341.0,1938,129,97,0
171,343.0,1887,113,99,2
172,345.0,1922,108,98,1
173,347.0,1998,123,119,3
174,349.0,1969,126,111,3
175,351.0,1997,133,87,4
176,353.0,1934,102,123,3
177,355.0,1923,110,99,2
178,357.0,1977,126,115,3
179,359.0,1945,133,110,3
180,361.0,1919,117,128,5
181,363.0,1950,119,102,3
182,365.0,1916,113,89,3
183,367.0,1905,116,91,3
184,369.0,1983,122,104,1
185,371.0,1891,127,87,3
186,373.0,1872,107,111,6
187,375.0,1859,114,102,7
188,377.0,1885,110,101,4
189,379.0,1946,119,97,3
190,381.0,2020,134,99,3
191,383.0,2027,128,104,2
192,385.0,1991,126,103,1
193,387.0,2035,141,100,3
194,389.0,2027,115,121,2
195,391.0,1912,134,98,2
196,393.0,2007,127,123,2
197,395.0,1941,110,104,3
198,397.0,1920,134,108,0
199,399.0,1852,113,92,4
200,401.0,1862,107,98,3
201,403.0,1921,118,122,1
202,405.0,1889,108,106,4
203,407.0,1869,120,103,7
204,409.0,2007,113,102,3
205,411.0,1994,120,85,2
206,413.0,1895,123,104,8
207,415.0,1920,116,100,2
208,417.0,1903,108,90,4
209,419.0,1905,124,92,3
210,421.0,1797,98,87,6
211,423.0,1897,105,105,3
212,425.0,1813,124,86,1
213,427.0,1817,115,83,2
214,429.0,1832,111,84,2
215,431.0,1828,101,93,4
216,433.0,1795,94,95,3
217,435.0,1874,108,92,1
218,437.0,1902,112,105,4
219,439.0,1838,126,89,2
220,441.0,1900,105,92,2
221,443.0,1989,114,103,4
222,445.0,1883,114,94,1
223,447.0,1851,117,87,2
224,449.0,1786,123,84,1
225,451.0,1902,130,91,1
226,453.0,1846,119,94,4
227,455.0,1844,126,108,4
228,457.0,1838,128,106,4
229,459.0,1895,99,82,3
230,461.0,1927,104,100,2
231,463.0,1903,120,97,3
232,465.0,1852,101,98,3
233,467.0,1851,102,92,1
234,469.0,1956,109,102,1
235,471.0,1890,105,106,2
236,473.0,1864,120,111,2
237,475.0,1802,107,83,3
238,477.0,1835,91,109,5
239,479.0,1762,113,122,5
240,481.0,1807,98,105,1
241,483.0,1779,116,107,2
242,485.0,1945,112,82,3
243,487.0,1818,123,95,2
244,489.0,1893,123,115,4
245,491.0,1815,131,92,4
246,493.0,1939,110,109,7
247,495.0,1893,109,109,2
248,497.0,1942,112,96,5
249,499.0,1890,138,96,4
250,501.0,2025,139,118,5
251,503.0,1986,116,99,1
252,505.0,1875,126,107,2
253,507.0,1884,125,104,4
254,509.0,1973,116,118,4
255,511.0,1918,111,107,5
256,513.0,1884,125,95,4
257,515.0,1935,121,97,5
258,517.0,1908,132,107,7
259,519.0,2008,106,107,3
260,521.0,1925,117,90,4
261,523.0,1942,115,120,5
262,525.0,1876,137,99,5
263,527.0,1892,127,115,2
264,529.0,1956,121,119,3
265,531.0,1896,112,111,2
266,533.0,1849,110,102,0
267,535.0,1850,119,92,2
268,537.0,1776,108,107,1
269,539.0,1870,129,105,4
270,541.0,1791,99,109,5
271,543.0,1804,126,98,2
272,545.0,1846,103,104,6
273,547.0,1865,119,103,2
274,549.0,1768,113,103,2
