,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,36,53,642,1278
1,2.0,47,48,573,1127
2,4.0,58,29,608,1267
3,6.0,52,55,577,1190
4,8.0,51,56,654,1221
5,10.0,49,58,621,1214
6,12.0,55,56,590,1196
7,14.0,51,46,634,1181
8,16.0,40,46,611,1202
9,18.0,50,61,594,1212
10,20.0,70,39,600,1203
11,22.0,55,53,644,1234
12,24.0,58,50,603,1189
13,26.0,45,48,583,1176
14,28.0,54,56,580,1206
15,30.0,41,53,602,1212
16,32.0,43,44,575,1189
17,34.0,54,43,583,1208
18,36.0,55,54,572,1118
19,38.0,46,62,603,1198
20,40.0,42,47,554,1097
21,42.0,49,44,577,1157
22,44.0,56,52,579,1124
23,46.0,47,49,634,1234
24,48.0,52,65,625,1215
25,50.0,47,38,596,1223
26,52.0,41,49,647,1203
27,54.0,54,54,615,1224
28,56.0,63,59,614,1221
29,58.0,41,49,601,1169
30,60.0,37,49,639,1243
31,62.0,55,59,663,1262
32,64.0,58,51,564,1135
33,66.0,46,55,622,1213
34,68.0,47,58,608,1184
35,70.0,56,61,627,1270
36,72.0,45,52,619,1224
37,74.0,45,65,638,1243
38,76.0,59,34,590,1197
39,78.0,53,59,614,1226
40,80.0,63,55,657,1235
41,82.0,57,43,592,1210
42,84.0,53,63,605,1193
43,86.0,48,48,589,1172
44,88.0,63,37,531,1045
45,90.0,58,58,596,1202
46,92.0,55,55,650,1240
47,94.0,52,46,638,1280
48,96.0,41,44,643,1258
49,98.0,46,60,629,1194
50,100.0,59,58,653,1266
51,102.0,64,49,633,1203
52,104.0,47,60,658,1202
53,106.0,60,43,585,1205
54,108.0,45,58,588,1142
55,110.0,61,48,577,1161
56,112.0,52,60,593,1155
57,114.0,52,57,594,1188
58,116.0,49,59,642,1222
59,118.0,58,49,582,1134
60,120.0,43,64,580,1186
61,122.0,51,46,626,1244
62,124.0,42,63,630,1219
63,126.0,54,48,595,1166
64,128.0,57,52,606,1202
65,130.0,52,51,624,1229
66,132.0,32,61,603,1192
67,134.0,58,42,654,1268
68,136.0,49,71,609,1197
69,138.0,56,53,593,1220
70,140.0,53,61,603,1198
71,142.0,57,44,609,1200
72,144.0,48,37,635,1213
73,146.0,45,58,618,1207
74,148.0,58,47,622,1201
75,150.0,46,54,595,1165
76,152.0,40,61,620,1221
77,154.0,43,56,641,1260
78,156.0,52,39,621,1261
79,158.0,49,40,600,1230
80,160.0,53,69,670,1292
81,162.0,39,72,648,1256
82,164.0,54,42,606,1183
83,166.0,49,55,625,1218
84,168.0,61,57,599,1186
85,170.0,70,51,624,1199
86,172.0,56,51,555,1155
87,174.0,54,54,602,1164
88,176.0,53,56,637,1270
89,178.0,50,49,637,1271
90,180.0,48,52,628,1194
91,182.0,51,44,604,1181
92,184.0,45,62,647,1248
93,186.0,48,51,546,1149
94,188.0,66,64,625,1215
95,190.0,42,50,613,1205
96,192.0,59,47,639,1232
97,194.0,50,55,598,1205
98,196.0,58,58,621,1234
99,198.0,59,58,601,1203
100,200.0,57,52,603,1173
101,202.0,48,64,567,1147
102,204.0,60,52,591,1219
103,206.0,52,45,572,1163
104,208.0,50,44,643,1258
105,210.0,56,64,605,1191
106,212.0,58,50,565,1164
107,214.0,51,55,598,1221
108,216.0,67,56,588,1208
109,218.0,49,48,626,1220
110,220.0,51,65,604,1152
111,222.0,66,56,648,1259
112,224.0,56,56,660,1243
113,226.0,63,49,608,1222
114,228.0,49,49,618,1221
115,230.0,45,49,651,1215
116,233.0,48,51,639,1240
117,235.0,56,57,637,1214
118,237.0,50,40,600,1233
119,239.0,44,59,632,1226
120,241.0,46,42,622,1238
121,243.0,52,52,649,1261
122,245.0,50,49,606,1195
123,247.0,44,51,655,1273
124,249.0,62,55,604,1233
125,251.0,59,66,635,1258
126,253.0,54,52,572,1156
127,255.0,59,59,633,1259
128,257.0,52,67,602,1214
129,259.0,62,55,590,1173
130,261.0,52,57,661,1271
131,263.0,57,60,589,1197
132,265.0,62,48,586,1257
133,267.0,56,47,578,1155
134,269.0,51,51,631,1226
135,271.0,41,47,634,1243
136,273.0,49,59,606,1229
137,275.0,54,62,628,1205
138,277.0,53,54,647,1264
139,279.0,58,60,604,1202
140,281.0,49,58,638,1226
141,283.0,61,57,627,1218
142,285.0,58,53,641,1224
143,287.0,53,59,651,1257
144,289.0,60,51,639,1203
145,291.0,40,56,634,1253
146,293.0,55,61,604,1240
147,295.0,41,50,610,1220
148,297.0,41,54,668,1292
149,299.0,48,66,629,1242
150,301.0,44,55,609,1130
151,303.0,52,56,593,1213
152,305.0,60,43,630,1234
153,307.0,46,52,628,1228
154,309.0,48,51,633,1291
155,311.0,66,62,608,1217
156,313.0,54,49,659,1203
157,315.0,48,53,624,1231
158,317.0,65,49,626,1238
159,319.0,42,43,602,1272
160,321.0,55,58,638,1205
161,323.0,43,54,601,1219
162,325.0,51,66,575,1192
163,327.0,53,65,615,1203
164,329.0,46,53,617,1243
165,331.0,47,50,584,1187
166,333.0,52,47,595,1239
167,335.0,45,51,618,1281
168,337.0,58,60,609,1249
169,339.0,47,49,624,1238
170,341.0,57,58,611,1182
171,343.0,43,51,590,1214
172,345.0,44,52,596,1183
173,347.0,62,44,613,1247
174,349.0,48,45,619,1220
175,351.0,46,48,609,1215
176,353.0,44,41,595,1130
177,355.0,58,69,581,1153
178,357.0,43,52,591,1214
179,359.0,58,38,589,1185
180,361.0,41,44,595,1189
181,363.0,40,64,628,1216
182,365.0,53,49,582,1190
183,367.0,61,53,656,1278
184,369.0,54,49,612,1231
185,371.0,49,70,538,1150
186,373.0,46,55,588,1177
187,375.0,49,43,605,1249
188,377.0,52,47,605,1169
189,379.0,54,53,626,1273
190,381.0,49,58,635,1232
191,383.0,49,55,630,1253
192,385.0,61,72,662,1293
193,387.0,33,54,653,1283
194,389.0,56,39,616,1157
195,391.0,55,47,593,1123
196,393.0,47,38,628,1233
197,395.0,47,56,601,1168
198,397.0,46,50,620,1197
199,399.0,49,48,666,1249
200,401.0,47,51,603,1254
201,403.0,42,44,587,1216
202,405.0,42,48,599,1201
203,407.0,43,51,590,1176
204,409.0,42,47,654,1270
205,411.0,48,43,601,1203
206,413.0,42,53,622,1213
207,415.0,59,58,653,1257
208,417.0,48,42,621,1239
209,419.0,36,60,610,1254
210,421.0,66,52,610,1248
211,423.0,54,55,662,1245
212,425.0,46,49,609,1182
213,427.0,47,58,679,1313
214,429.0,50,58,643,1275
215,431.0,56,53,617,1302
216,433.0,48,42,594,1200
217,435.0,47,49,630,1197
218,437.0,52,49,667,1241
219,439.0,48,55,597,1165
220,441.0,61,44,633,1219
221,443.0,47,70,587,1211
222,445.0,61,63,614,1214
223,447.0,53,33,669,1322
224,449.0,49,60,636,1242
225,451.0,40,49,651,1286
226,453.0,47,54,642,1301
227,455.0,51,50,665,1266
228,457.0,72,57,605,1248
229,459.0,42,62,669,1277
230,461.0,51,51,610,1221
231,463.0,63,52,558,1185
232,465.0,63,45,608,1205
233,467.0,57,48,629,1220
234,469.0,47,46,596,1216
235,471.0,57,56,625,1207
236,473.0,64,48,614,1209
237,475.0,49,46,650,1223
238,477.0,59,44,559,1138
239,479.0,45,60,562,1143
240,481.0,49,52,607,1244
241,483.0,63,52,649,1226
242,485.0,55,45,596,1193
243,487.0,62,54,564,1125
244,489.0,68,56,610,1202
245,491.0,52,59,602,1221
246,493.0,36,59,611,1174
247,495.0,38,52,600,1127
