delay_(ps),counts_per_90_min
0,49765.86888204118
240,51570.30461218775
640,49927.60352990836
720,50087.93678447912
800,48682.29824964295
840,47276.670301959784
880,47415.59449998262
920,48072.073479028135
960,48331.37710877469
1000,51142.48886510637
1040,51003.75898474072
1120,54030.026741120215
1200,53352.80044149833
1600,53892.001258633674
1840,57114.673191820235
