,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,472293,3305,417106,573579,3589,516147,829605,4208,694415,718781,3395,624577
1,1.0,364062,2521,292324,440853,2800,311855,636053,3438,474285,550809,2737,479000
2,4.0,473160,3367,242573,572904,3881,10701,828363,4779,347183,719202,3574,625401
3,6.0,474498,3491,242712,575322,3768,10860,830522,4551,348459,719674,3543,625957
4,8.0,474722,3313,243382,571725,3888,10817,828800,4496,348023,718618,3417,625003
5,10.0,472843,3389,243147,571188,3871,10607,825883,4629,346885,718593,3581,624874
6,12.0,472433,3377,243060,571286,3775,10719,825713,4682,346731,716662,3499,623141
7,14.0,472150,3365,242234,568099,3740,10699,824641,4763,347405,717839,3563,624502
8,16.0,471905,3348,241986,569983,3903,10522,824370,4552,346507,715915,3400,622417
9,18.0,472664,3264,242585,571357,3788,10819,828590,4729,347496,717030,3570,623258
10,20.0,470635,3390,241912,571639,3783,10949,827319,4613,347160,715257,3549,622031
11,22.0,469822,3316,241728,565719,3786,10565,824592,4636,347401,719723,3540,625125
12,24.0,469581,3265,241954,564289,3719,10645,825310,4743,348137,718059,3457,624145
13,26.0,469907,3400,242896,560943,3787,10691,822923,4710,347732,718117,3433,624157
14,28.0,471620,3273,243645,561704,3831,10521,823790,4564,349314,719093,3408,624843
15,30.0,472879,3344,244571,562870,3784,10617,824147,4614,349193,720175,3465,626358
16,32.0,471150,3412,242284,568130,3727,10625,826563,4664,349062,719840,3437,626180
17,34.0,473834,3252,243678,568307,3705,10793,829592,4633,349310,721036,3445,627514
18,36.0,471082,3378,243446,566451,3797,10617,824639,4642,349208,720637,3560,627478
19,38.0,470020,3368,243539,563200,3715,10701,822474,4654,349230,721092,3434,627647
20,40.0,468741,3374,244156,557308,3748,10546,818099,4635,349255,721115,3445,627214
21,42.0,467130,3349,244491,549332,3716,10384,813396,4611,349666,720045,3426,626625
22,44.0,466680,3299,243779,550431,3787,10439,816986,4589,350785,720352,3550,626685
23,46.0,469312,3343,244404,556095,3740,10540,818797,4543,350145,723060,3432,628817
24,48.0,469014,3370,244043,555031,3848,10569,819515,4661,348696,718937,3480,625418
25,50.0,467884,3254,243315,552742,3859,10484,817817,4513,349314,718922,3407,625745
26,52.0,467468,3298,243843,550977,3753,10449,816788,4403,349693,719510,3451,626091
27,54.0,467864,3320,242989,552918,3739,10422,817742,4631,348606,718593,3431,624875
28,56.0,469266,3322,243433,558216,3682,10612,818732,4613,347947,720583,3349,627376
29,58.0,469153,3308,242355,557627,3785,10529,820336,4634,348606,719068,3450,625742
30,60.0,467795,3312,243725,550476,3760,10399,815803,4712,349147,721396,3447,627730
31,62.0,467665,3303,243595,552607,3711,10435,816270,4553,348804,720779,3372,627157
