,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,12719,157,67,20338,207,66,28956,426,147,60426,244,56
1,2.0,15947,223,81,24963,302,102,36146,906,161,74755,336,91
2,4.0,16108,238,89,25395,354,99,36169,854,189,76837,303,76
3,6.0,16234,248,78,25922,307,107,36631,865,158,77296,326,87
4,8.0,16326,240,89,25842,312,107,36515,865,163,77219,335,91
5,10.0,16401,220,67,26042,321,86,37004,858,163,76875,274,82
6,12.0,16320,237,73,26026,337,107,37262,838,170,77353,304,97
7,14.0,16261,207,74,26045,329,106,37288,871,184,77089,296,81
8,16.0,16401,210,90,25996,313,81,38317,886,190,77084,320,93
9,18.0,16482,207,111,26140,309,89,38060,915,178,76729,290,83
10,20.0,16277,225,65,26185,329,86,38073,923,194,76727,307,90
11,22.0,16432,231,82,26020,333,94,38350,898,173,77517,284,90
12,24.0,16512,243,71,25971,340,117,38126,927,185,77121,328,85
13,26.0,16495,233,91,26078,302,108,37868,837,177,76878,318,73
14,28.0,16416,218,67,26175,305,93,37723,872,164,77025,330,88
15,30.0,16511,231,105,26260,344,99,37923,892,179,77117,347,88
16,32.0,16327,218,85,26224,314,100,38112,804,183,77096,283,87
17,34.0,16489,233,96,26054,287,107,37920,911,163,76862,328,105
18,36.0,16348,224,85,25962,303,96,37308,878,185,77108,316,80
19,38.0,16376,234,75,25956,289,97,37833,862,190,77514,299,109
20,40.0,16425,237,83,26181,323,89,37281,846,166,78015,318,75
21,42.0,16557,223,75,26014,327,93,37722,887,176,78076,337,106
22,44.0,16476,207,78,26054,337,101,37585,892,166,77524,306,99
23,46.0,16621,237,78,26202,288,103,38193,907,186,76994,307,86
24,48.0,16656,245,86,26290,284,113,38510,850,182,77564,294,85
25,50.0,16736,218,98,26634,334,106,38784,883,165,77611,285,83
26,52.0,16584,220,68,26395,333,85,38094,909,196,77965,312,105
27,54.0,16752,205,79,26243,321,98,38216,884,183,77685,282,85
28,56.0,16480,209,85,26338,311,100,37978,912,197,77171,309,80
