,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,1542,102,84,1
1,2.0,1606,91,86,3
2,4.0,1561,88,79,2
3,6.0,1546,95,90,4
4,8.0,1608,90,82,5
5,10.0,1621,83,100,2
6,12.0,1686,82,93,2
7,14.0,1560,89,82,1
8,16.0,1616,104,92,3
9,18.0,1593,106,79,1
10,20.0,1670,91,82,1
11,22.0,1657,111,99,1
12,24.0,1511,91,79,0
13,26.0,1508,93,80,1
14,28.0,1552,89,84,1
15,30.0,1458,73,71,0
16,32.0,1598,83,67,2
17,34.0,1547,79,77,2
18,36.0,1580,99,88,3
19,38.0,1480,99,71,1
20,40.0,1616,92,87,4
21,42.0,1474,94,80,4
22,44.0,1354,96,74,1
23,46.0,1760,100,101,3
24,48.0,1526,87,89,0
25,50.0,1511,88,77,1
26,52.0,1612,94,76,5
27,54.0,1501,96,87,2
28,56.0,1526,89,90,4
29,59.0,1556,103,93,2
30,61.0,1489,94,84,3
31,63.0,1441,98,91,3
32,65.0,1599,98,67,3
33,67.0,1518,97,80,1
34,69.0,1551,89,85,1
35,71.0,1482,91,91,2
36,73.0,1495,98,72,0
37,75.0,1478,92,78,4
38,77.0,1553,91,76,0
39,79.0,1595,79,80,0
40,81.0,1553,108,66,0
41,83.0,1562,101,84,2
42,85.0,1516,83,72,1
43,87.0,1658,95,91,1
44,89.0,1580,86,77,1
45,91.0,1555,91,88,1
46,93.0,1541,108,93,4
47,95.0,1482,88,71,0
48,97.0,1447,82,65,3
49,99.0,1411,70,77,2
50,101.0,1742,107,95,4
51,103.0,1579,99,85,2
52,105.0,1543,85,98,2
53,107.0,1588,84,92,0
54,109.0,1541,97,78,2
55,111.0,1518,85,92,3
56,113.0,1562,82,94,2
57,115.0,1611,88,82,3
58,117.0,1540,91,86,2
59,119.0,1529,90,78,3
60,121.0,1564,100,76,4
61,123.0,1580,105,69,0
62,125.0,1572,88,90,2
63,127.0,1478,93,61,2
64,129.0,1503,85,86,0
65,131.0,1689,90,91,3
66,133.0,1583,92,75,1
67,135.0,1464,95,82,1
68,137.0,1647,124,79,1
69,139.0,1745,105,91,0
70,141.0,1622,92,80,1
71,143.0,1551,99,84,3
72,145.0,1477,100,69,1
73,147.0,1678,103,97,2
74,149.0,1671,103,81,3
75,151.0,1573,88,67,3
76,153.0,1716,110,95,5
77,155.0,1606,97,80,1
78,157.0,1616,94,82,2
79,159.0,1518,106,82,4
80,161.0,1605,93,92,2
81,163.0,1671,104,87,2
82,165.0,1577,95,70,1
83,167.0,1646,108,64,3
84,169.0,1593,99,74,0
85,171.0,1511,83,70,1
86,173.0,1692,95,82,3
87,175.0,1593,101,77,2
88,177.0,1453,93,60,4
89,179.0,1548,123,71,2
90,181.0,1582,96,84,4
91,183.0,1364,89,77,2
92,185.0,1752,102,105,3
93,187.0,1671,110,85,4
94,189.0,1531,101,84,3
95,191.0,1493,105,65,2
96,193.0,1539,105,90,4
97,195.0,1677,103,81,4
98,197.0,1623,112,85,5
99,199.0,1453,83,80,2
100,201.0,1522,84,70,5
101,203.0,1521,101,86,1
102,205.0,1568,87,81,5
103,207.0,1378,74,74,4
104,209.0,1577,79,79,4
105,211.0,1543,85,66,2
106,213.0,1669,105,76,0
107,215.0,1643,97,94,4
108,217.0,1624,98,70,0
109,219.0,1602,116,87,0
110,221.0,1600,95,77,1
111,223.0,1597,89,70,0
112,225.0,1627,82,91,2
113,227.0,1581,87,88,0
114,229.0,1613,86,79,1
115,231.0,1645,98,91,1
116,233.0,1585,84,86,1
117,235.0,1601,82,82,1
118,237.0,1590,98,84,6
119,239.0,1597,93,82,1
120,241.0,1615,104,87,2
121,243.0,1498,90,76,3
122,245.0,1660,110,96,3
