,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,5173,20,23,0
1,5.0,5647,19,25,0
2,10.0,5521,12,37,0
3,15.0,5648,20,33,0
4,20.0,5556,23,32,0
5,25.0,5530,21,29,0
6,30.0,5718,13,33,0
7,35.0,5536,15,24,0
8,40.0,5596,20,31,0
9,45.0,5508,16,31,0
10,50.0,5519,16,21,0
11,55.0,5625,10,30,0
12,60.0,5507,11,29,0
13,65.0,5412,9,28,0
14,70.0,5458,13,29,0
15,75.0,5416,16,32,1
16,80.0,5531,17,33,0
17,85.0,5646,13,19,0
18,90.0,5576,26,26,0
19,95.0,5445,17,28,1
20,100.0,5484,17,32,0
21,105.0,5499,18,35,0
22,110.0,5436,12,29,0
23,115.0,5418,17,32,0
24,120.0,5449,15,31,0
25,125.0,5447,9,26,0
26,130.0,5430,13,36,0
27,135.0,5484,19,24,0
28,140.0,5511,14,23,0
29,145.0,5463,18,25,0
30,150.0,5541,25,28,0
31,155.0,5486,25,34,1
32,160.0,5491,13,30,1
33,165.0,5671,17,26,0
34,170.0,5501,16,20,0
35,175.0,5595,23,24,0
36,180.0,5509,18,39,0
37,185.0,5500,20,31,0
38,190.0,5538,15,30,0
39,195.0,5640,10,35,0
40,200.0,5573,13,30,0
41,205.0,5565,15,29,0
42,210.0,5501,16,28,0
43,215.0,5495,15,26,0
44,220.0,5532,21,33,0
45,225.0,5454,12,43,1
46,230.0,5485,15,23,0
47,235.0,5499,14,29,0
48,240.0,5456,13,19,0
49,245.0,5262,13,29,0
50,250.0,5518,21,33,0
51,255.0,5536,16,33,0
52,260.0,5518,16,25,0
53,265.0,5598,15,30,0
54,270.0,5525,24,34,1
55,275.0,5507,18,30,0
56,280.0,5433,14,21,0
57,285.0,5413,17,21,1
58,290.0,5444,15,33,0
59,295.0,5431,17,26,1
60,300.0,4903,11,31,0
61,305.0,5492,19,27,0
62,310.0,5552,11,28,0
63,315.0,5590,20,26,0
64,320.0,5568,12,41,0
65,325.0,5416,12,29,0
66,330.0,5603,24,28,0
67,335.0,5454,16,28,0
68,340.0,5418,9,24,0
69,345.0,5616,22,31,0
70,350.0,5547,14,35,0
71,355.0,5552,12,45,0
72,360.0,5731,22,24,0
73,365.0,5562,13,26,0
74,370.0,5638,13,30,0
75,375.0,5465,11,24,0
76,380.0,5609,20,36,0
77,385.0,5464,26,41,0
78,390.0,5695,14,30,0
79,395.0,5364,28,37,0
80,400.0,5735,18,31,0
81,405.0,5463,19,28,0
82,410.0,5687,22,19,0
83,415.0,5145,16,26,0
84,420.0,5993,16,37,0
85,425.0,5456,18,18,0
86,430.0,5766,20,29,0
87,435.0,5486,20,33,0
88,440.0,5982,18,43,0
89,445.0,5290,14,25,0
90,450.0,5903,24,29,0
91,455.0,5282,10,33,0
92,460.0,5748,17,18,0
93,465.0,5360,20,34,0
94,470.0,5447,19,25,0
95,475.0,5303,22,28,0
96,480.0,5820,21,27,0
97,485.0,5325,13,32,0
98,490.0,5650,26,28,0
99,495.0,5314,16,28,0
100,500.0,5794,12,29,0
101,505.0,5337,13,29,0
102,510.0,5705,18,28,0
103,515.0,5265,14,35,0
104,520.0,5823,20,20,0
105,525.0,5231,19,31,0
106,530.0,5732,9,27,0
107,535.0,5329,15,21,0
108,540.0,5732,16,30,0
109,545.0,5399,20,21,0
110,550.0,5937,16,35,0
111,555.0,5130,17,25,0
112,560.0,5951,23,27,0
113,565.0,5123,17,33,0
114,570.0,5824,12,39,0
115,575.0,5177,10,25,0
116,580.0,5989,20,35,0
117,585.0,5100,10,26,1
118,590.0,5918,18,30,0
119,595.0,5069,18,32,0
120,600.0,5342,18,26,0
121,605.0,5123,9,32,0
122,610.0,5893,22,37,0
123,615.0,5163,14,34,0
124,620.0,5810,14,26,0
125,625.0,5066,11,27,0
126,630.0,5838,23,30,1
127,635.0,5177,10,22,0
128,640.0,5830,20,44,0
129,645.0,5206,12,27,0
130,650.0,6026,32,32,0
131,655.0,4930,10,26,0
132,660.0,5987,20,38,0
133,665.0,4887,16,20,0
134,670.0,5848,12,33,0
135,675.0,5042,19,28,0
136,680.0,5855,19,29,0
137,685.0,5055,12,18,0
138,690.0,5807,18,28,0
