,time_histo_el_s,A0,B0,C0,D0
0,0.0,52072,24125,45170,31249
1,2.0,52009,24093,44963,31245
2,4.0,52075,23675,44469,31085
3,6.0,51628,24274,44248,31176
4,8.0,51537,24186,44000,31303
5,10.0,51579,24043,43514,30992
6,12.0,51315,24002,43619,31186
7,14.0,51183,23694,43068,30766
8,16.0,50915,23823,42868,30982
9,18.0,51284,23827,43450,30999
10,20.0,51584,23807,43492,30911
11,22.0,51605,24193,44677,31263
12,24.0,51848,24241,44561,31154
13,26.0,51857,24145,44890,31072
14,28.0,51933,24166,44900,30939
15,30.0,51887,24275,45045,31214
16,32.0,51747,24157,44788,31135
17,34.0,51664,24101,43898,31259
18,36.0,51119,23849,44354,31058
19,38.0,51922,24194,45048,31390
20,40.0,51691,24254,44853,31568
21,42.0,51712,24071,45599,31364
22,44.0,51968,24037,45502,31528
23,46.0,51849,24119,45833,31617
24,48.0,51906,24172,45983,31445
25,50.0,51753,24424,45743,31693
26,52.0,52254,23991,45459,31484
27,54.0,51851,24454,45608,31748
28,56.0,52136,24233,45811,31810
29,58.0,51918,24156,45309,31843
30,60.0,51867,24211,45401,31832
31,62.0,51937,24068,45217,31448
32,64.0,51926,24063,44771,31859
33,66.0,52053,24388,45154,31575
34,68.0,51820,24301,45072,31798
35,70.0,51993,24365,45623,31293
36,72.0,52330,24161,45403,31531
37,74.0,51961,24050,46151,31328
38,76.0,52089,23980,46036,31942
39,78.0,51798,23937,46105,31470
40,80.0,52468,24525,45992,31205
41,82.0,52424,24391,45976,31357
42,84.0,53084,24209,46514,31646
43,86.0,51674,24149,45535,31196
44,88.0,51829,24302,45291,31266
45,90.0,52309,24426,46132,31265
46,92.0,52391,24349,46049,31193
47,94.0,52190,24181,46294,31033
48,96.0,52144,24445,46512,30949
49,98.0,52219,24170,46177,31191
50,100.0,52147,24349,46278,31445
51,102.0,51876,24235,46329,31257
52,104.0,52302,24669,46387,31214
53,106.0,51982,24073,46237,31127
54,108.0,52549,24025,46819,31006
55,110.0,52647,23828,46755,31452
56,112.0,52623,24175,46462,31422
57,114.0,52329,24204,46684,31265
58,116.0,52211,24262,45723,31461
59,118.0,51908,24390,45102,31166
60,120.0,51613,24044,44764,31238
61,122.0,51790,23890,45041,31556
62,124.0,51879,23909,44554,31394
63,126.0,51378,23871,43992,31358
64,128.0,51308,24098,43509,31117
65,130.0,51022,23790,43069,31427
66,132.0,51169,23721,43332,31239
67,134.0,51098,23821,43048,31622
68,136.0,51157,23995,43112,31522
69,138.0,51267,23836,44423,31248
70,140.0,51811,23741,44465,31110
71,142.0,51434,23883,44970,31102
72,144.0,51832,24353,45294,31008
73,146.0,52340,24414,45805,31403
74,148.0,51975,24402,46200,31015
75,150.0,52574,24155,45942,30894
76,152.0,51965,24176,45027,31220
77,154.0,51839,24233,45482,31379
78,156.0,52067,24278,45795,31076
79,158.0,52458,24267,46217,30891
80,160.0,52776,24373,46392,30944
81,162.0,52527,24782,47190,31197
82,164.0,53111,24634,47383,31282
83,166.0,52624,24283,47026,31324
84,168.0,53038,24253,47163,31429
85,170.0,52610,24254,47417,31541
86,172.0,52252,24305,47119,31542
87,174.0,52508,24338,46594,31454
88,176.0,52127,24325,46151,31398
89,178.0,52514,24077,46061,31490
90,180.0,52595,24302,46255,31547
91,182.0,52429,24158,46391,31283
92,184.0,52421,24223,46785,31996
93,186.0,52730,24270,46047,31251
94,188.0,52171,24206,46596,31379
95,190.0,52071,24263,46735,31327
96,192.0,52689,24245,47299,30946
97,194.0,52127,24389,47327,31055
98,196.0,52158,24371,46592,31097
99,198.0,52092,24403,46862,30967
100,200.0,52342,24147,46996,30792
101,202.0,51812,23979,46519,31280
102,204.0,51841,24278,46083,31104
103,206.0,51916,24140,46088,31629
104,208.0,51765,23862,46062,31231
105,210.0,51863,23900,45832,31548
106,212.0,51461,23893,45743,31389
107,214.0,51736,24039,45430,31581
108,216.0,51763,23948,45565,31836
109,218.0,52573,24187,45402,31556
110,220.0,52306,23862,45677,31420
111,222.0,52114,24107,45265,31746
112,224.0,52069,23864,45909,31702
113,226.0,51935,23869,45456,31660
114,228.0,51907,24228,45222,31471
115,230.0,51838,24112,45362,31183
116,232.0,51711,23906,45129,31415
117,234.0,52176,24198,45055,31435
118,236.0,51883,23813,45399,31403
119,238.0,51580,24039,44917,31340
120,240.0,51206,23680,44540,31615
121,242.0,51654,23919,44737,31455
122,244.0,51302,23990,44772,31588
123,246.0,51326,24062,44311,31280
124,248.0,50895,24020,45152,31582
125,250.0,51314,23942,44724,31208
126,252.0,51505,23909,45276,31483
127,254.0,51672,24028,45368,31419
128,256.0,51320,24216,45065,31496
129,258.0,51623,24299,45223,31567
130,260.0,51829,24052,45417,31174
131,262.0,51334,24004,45536,31259
132,264.0,51327,23948,45227,31745
133,266.0,51657,23872,45285,31156
134,268.0,51228,23914,45214,31616
135,270.0,51536,23555,45230,31361
136,272.0,51522,23844,45023,31863
137,274.0,51611,24031,44463,31631
138,276.0,51178,23863,44385,31066
139,278.0,51968,23821,44620,31225
140,280.0,51583,24122,44998,31462
141,282.0,51583,24023,45487,31235
142,284.0,52505,23867,45596,31069
143,286.0,51945,23932,46060,31657
144,288.0,52058,24329,45622,31300
145,290.0,51682,24204,45833,31100
146,292.0,52106,23739,45862,31157
147,294.0,52055,24043,45386,30945
148,296.0,51978,24029,45882,31007
149,298.0,51859,23800,46389,30951
150,300.0,52326,23984,46334,31313
151,302.0,52056,24221,46176,30973
152,304.0,52338,24180,46674,31408
153,306.0,52141,24269,45885,30923
154,308.0,52157,24129,46569,31010
155,310.0,52326,24177,46663,31183
156,312.0,52171,24007,46450,31096
157,314.0,52059,23835,45610,30986
158,316.0,51754,23745,45592,31308
159,318.0,51541,23840,44861,31236
160,320.0,51915,24043,45883,31073
