delay_(ps),counts_per_90_min
0,78459.72769306207
240,78103.27844710746
640,78029.50085980479
720,76869.58522727838
800,71186.57488574221
840,65785.5661545372
880,62473.53284888752
920,62664.12105947102
960,66755.24292248742
1000,72846.80083755394
1040,75553.04485029499
1120,78341.29465586452
