,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,48462,24187,395,40072,20227,353,1766,1814,1761,3811,3866,3844
1,2.0,37070,21185,2987,30754,17733,2374,1320,1297,1389,2949,3001,2945
2,4.0,48111,41287,17547,40091,34261,14506,1765,1723,1708,3743,3844,3822
3,6.0,48090,41332,17432,39596,33689,14178,1761,1788,1775,3825,3844,3575
4,8.0,48432,41591,17465,40503,34508,14468,1765,1839,1743,3900,3842,3875
5,10.0,47875,40944,17213,39860,33931,13901,1790,1723,1791,3950,3978,3948
6,12.0,48007,41061,17304,39784,33792,13882,1779,1748,1761,3867,3900,3966
7,14.0,48764,41810,17613,40118,34157,14186,1742,1736,1778,4017,3907,3935
8,16.0,48385,41329,17416,40499,34372,14259,1861,1787,1780,3898,3921,4013
9,18.0,48867,41819,17587,40625,34369,14246,1915,1859,1732,4062,4136,3972
10,20.0,48447,41362,17351,40211,34107,14245,1773,1812,1817,4019,4068,3922
11,22.0,48228,41171,17047,39927,33964,14098,1835,1799,1764,4072,3992,4020
12,24.0,48575,41523,17423,40570,34330,14244,1777,1783,1785,4011,3974,3953
13,26.0,49149,42119,17761,40984,34828,14597,1782,1906,1811,3953,3983,3941
14,28.0,48578,41572,17364,40420,34402,14290,1738,1820,1798,3886,3908,3945
15,30.0,48122,41148,17023,40277,34119,14213,1771,1732,1833,3865,3778,3858
16,32.0,48464,41443,17175,40066,33914,14145,1790,1888,1794,3954,3944,3892
17,34.0,48367,41480,17277,39964,34080,14174,1713,1838,1788,3848,3901,3938
18,36.0,48010,41153,17394,39856,33896,14138,1664,1766,1788,3730,3747,3921
19,38.0,48034,41265,17361,39980,34085,14395,1747,1735,1651,3808,3873,3879
20,40.0,47638,40920,17023,40039,34094,14308,1703,1734,1715,3687,3903,3658
21,42.0,48051,41295,17199,39754,33807,14234,1588,1687,1703,3622,3617,3761
22,44.0,48650,41651,17444,40295,34289,14147,1761,1672,1632,3646,3651,3589
23,46.0,48611,41693,17691,39892,33956,14121,1671,1650,1632,3623,3711,3540
24,48.0,48865,41813,17472,40512,34514,14278,1652,1734,1598,3607,3447,3594
25,50.0,49109,42146,17700,40460,34439,14477,1623,1652,1663,3584,3594,3536
26,52.0,49462,42413,17807,41327,35319,14683,1651,1687,1616,3665,3585,3644
27,54.0,49019,42058,17941,41133,34978,14477,1643,1699,1616,3759,3715,3855
28,56.0,49028,41994,17508,40958,34792,14501,1667,1745,1711,3751,3717,3702
29,58.0,48597,41573,17627,40750,34625,14364,1732,1716,1644,3680,3757,3763
30,60.0,49022,41983,17710,40423,34224,14245,1724,1722,1720,3774,3719,3770
31,62.0,40314,32377,12244,33392,27826,11327,1400,1330,1397,3104,2995,3084
32,64.0,48670,30709,6502,40442,31412,11262,1723,1750,1699,3756,3771,3781
33,66.0,49145,31002,6451,40486,31468,11351,1704,1692,1802,3900,3795,3839
34,68.0,48882,30756,6450,40153,31233,11209,1700,1750,1699,3892,3755,3968
35,70.0,48995,30776,6394,40808,31526,11365,1709,1733,1722,3779,3956,3966
36,72.0,49290,31120,6639,40653,31742,11338,1744,1749,1719,3726,3853,3878
37,74.0,49042,30642,6426,40380,31401,11318,1803,1772,1699,3914,3904,3905
38,76.0,49060,31005,6754,40485,31434,11382,1733,1703,1832,3856,3899,4027
39,78.0,49078,31016,6571,41054,31773,11617,1785,1763,1825,3961,3822,3922
40,80.0,49100,31012,6515,40964,31972,11618,1776,1826,1806,3936,3965,3993
41,82.0,49398,31235,6601,41088,32023,11665,1786,1781,1748,3886,3917,4036
42,84.0,48995,31122,6735,40741,31811,11474,1776,1806,1835,3899,3905,4046
43,86.0,48367,30536,6591,40670,31797,11693,1810,1841,1780,3973,4064,4019
44,88.0,48811,30914,6600,40275,31389,11469,1929,1864,1902,4158,4042,3987
45,90.0,48071,30348,6441,40020,31245,11503,1834,1852,1837,4217,4083,4069
46,92.0,48586,30602,6476,40248,31280,11410,1831,1924,1956,4090,4101,4200
47,94.0,48942,30988,6697,40366,31244,11477,1875,1924,1819,4159,4228,4216
