# Time Tags Distribution
# 2022-06-28 13:07:34
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
  3.0220736E-09 ;   1.4500000E+02
  3.0270903E-09 ;   1.2200000E+02
  3.0321070E-09 ;   1.2100000E+02
  3.0371237E-09 ;   1.2800000E+02
  3.0421405E-09 ;   1.2000000E+02
  3.0471572E-09 ;   1.1200000E+02
  3.0521739E-09 ;   9.6000000E+01
  3.0571906E-09 ;   8.9000000E+01
  3.0622074E-09 ;   1.0500000E+02
  3.0672241E-09 ;   8.2000000E+01
  3.0722408E-09 ;   8.1000000E+01
  3.0772575E-09 ;   6.2000000E+01
  3.0822742E-09 ;   9.1000000E+01
  3.0872910E-09 ;   5.2000000E+01
  3.0923077E-09 ;   5.1000000E+01
  3.0973244E-09 ;   5.2000000E+01
  3.1023411E-09 ;   4.5000000E+01
  3.1073579E-09 ;   3.5000000E+01
  3.1123746E-09 ;   3.6000000E+01
  3.1173913E-09 ;   4.3000000E+01
  3.1224080E-09 ;   3.9000000E+01
  3.1274247E-09 ;   2.0000000E+01
  3.1324415E-09 ;   3.3000000E+01
  3.1374582E-09 ;   4.2000000E+01
  3.1424749E-09 ;   2.1000000E+01
  3.1474916E-09 ;   2.3000000E+01
  3.1525084E-09 ;   2.2000000E+01
  3.1575251E-09 ;   1.2000000E+01
  3.1625418E-09 ;   1.7000000E+01
  3.1675585E-09 ;   1.1000000E+01
  3.1725753E-09 ;   1.4000000E+01
  3.1775920E-09 ;   8.0000000E+00
  3.1826087E-09 ;   8.0000000E+00
  3.1876254E-09 ;   7.0000000E+00
  3.1926421E-09 ;   1.0000000E+01
  3.1976589E-09 ;   1.1000000E+01
  3.2026756E-09 ;   6.0000000E+00
  3.2076923E-09 ;   8.0000000E+00
  3.2127090E-09 ;   4.0000000E+00
  3.2177258E-09 ;   5.0000000E+00
  3.2227425E-09 ;   1.0000000E+01
  3.2277592E-09 ;   4.0000000E+00
  3.2327759E-09 ;   4.0000000E+00
  3.2377926E-09 ;   1.0000000E+00
  3.2428094E-09 ;   3.0000000E+00
  3.2478261E-09 ;   4.0000000E+00
  3.2528428E-09 ;   2.0000000E+00
  3.2578595E-09 ;   6.0000000E+00
  3.2628763E-09 ;   4.0000000E+00
  3.2678930E-09 ;   5.0000000E+00
  3.2729097E-09 ;   4.0000000E+00
  3.2779264E-09 ;   1.0000000E+00
  3.2829431E-09 ;   3.0000000E+00
  3.2879599E-09 ;   3.0000000E+00
  3.2929766E-09 ;   3.0000000E+00
  3.2979933E-09 ;   5.0000000E+00
  3.3030100E-09 ;   3.0000000E+00
  3.3080268E-09 ;   0.0000000E+00
  3.3130435E-09 ;   0.0000000E+00
  3.3180602E-09 ;   5.0000000E+00
  3.3230769E-09 ;   1.0000000E+00
  3.3280936E-09 ;   3.0000000E+00
  3.3331104E-09 ;   1.0000000E+00
  3.3381271E-09 ;   1.0000000E+00
  3.3431438E-09 ;   0.0000000E+00
  3.3481605E-09 ;   1.0000000E+00
  3.3531773E-09 ;   1.0000000E+00
  3.3581940E-09 ;   3.0000000E+00
  3.3632107E-09 ;   1.0000000E+00
  3.3682274E-09 ;   3.0000000E+00
  3.3732441E-09 ;   2.0000000E+00
  3.3782609E-09 ;   3.0000000E+00
  3.3832776E-09 ;   2.0000000E+00
  3.3882943E-09 ;   1.0000000E+00
  3.3933110E-09 ;   2.0000000E+00
  3.3983278E-09 ;   2.0000000E+00
  3.4033445E-09 ;   2.0000000E+00
  3.4083612E-09 ;   3.0000000E+00
  3.4133779E-09 ;   2.0000000E+00
  3.4183946E-09 ;   2.0000000E+00
  3.4234114E-09 ;   1.0000000E+00
  3.4284281E-09 ;   3.0000000E+00
  3.4334448E-09 ;   2.0000000E+00
  3.4384615E-09 ;   2.0000000E+00
  3.4434783E-09 ;   4.0000000E+00
  3.4484950E-09 ;   2.0000000E+00
  3.4535117E-09 ;   3.0000000E+00
  3.4585284E-09 ;   1.0000000E+00
  3.4635452E-09 ;   0.0000000E+00
  3.4685619E-09 ;   2.0000000E+00
  3.4735786E-09 ;   3.0000000E+00
  3.4785953E-09 ;   2.0000000E+00
  3.4836120E-09 ;   0.0000000E+00
  3.4886288E-09 ;   3.0000000E+00
  3.4936455E-09 ;   1.0000000E+00
  3.4986622E-09 ;   4.0000000E+00
  3.5036789E-09 ;   1.0000000E+00
  3.5086957E-09 ;   3.0000000E+00
  3.5137124E-09 ;   0.0000000E+00
  3.5187291E-09 ;   1.0000000E+00
  3.5237458E-09 ;   0.0000000E+00
  3.5287625E-09 ;   2.0000000E+00
  3.5337793E-09 ;   0.0000000E+00
  3.5387960E-09 ;   2.0000000E+00
  3.5438127E-09 ;   1.0000000E+00
  3.5488294E-09 ;   1.0000000E+00
  3.5538462E-09 ;   3.0000000E+00
  3.5588629E-09 ;   0.0000000E+00
  3.5638796E-09 ;   0.0000000E+00
  3.5688963E-09 ;   2.0000000E+00
  3.5739130E-09 ;   2.0000000E+00
  3.5789298E-09 ;   1.0000000E+00
  3.5839465E-09 ;   2.0000000E+00
  3.5889632E-09 ;   1.0000000E+00
  3.5939799E-09 ;   2.0000000E+00
